Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
split ^nn+++xvbn+=split
between ^in++++=between
varieties ^nns++++=varieties
that ^tht+rel+subj++=that
show ^vb+vprv+++=show
a ^at++++=a
strong ^jj+atrb+++=strong
tendency ^nn++++=tendency
towards ^in++++=towards
that ^cs+sub+++=that
- ^zz++++=-complementizer
complementizer ^nn+++??+=EXTRAWORD
with ^in++++=with
no ^at++++=no
punctuation ^nn++++=punctuation
( ^zz++++=(GhE,
ghe ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Inde ^np+++??+=IndE,
, ^zz++++=EXTRAWORD
Nige ^np+++??+=NigE)
) ^zz++++=EXTRAWORD
and ^cc++++=and
those ^dt+dem+++=those
that ^dt+dem+++=that
show ^nn+vprv+++=show
further ^jjb+atrb+++=further
interaction ^nn++++=interaction
with ^in++++=with
other ^ap++++=other
predictors ^nns++++=predictors
( ^zz++++=(node
node ^nn+++??+=EXTRAWORD
10 ^cd++++=10).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Intriguingly ^np+++??+=Intriguingly,
, ^zz++++=EXTRAWORD
Ghe ^np+++??+=GhE,
, ^zz++++=EXTRAWORD
Inde ^np+++??+=IndE,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nige ^np+++??+=NigE
are ^vb+ber+vrb++=are
the ^ati++++=the
varieties ^nns++++=varieties
that ^tht+rel+subj++=that
have ^vb+hv+vrb++=have
the ^ati++++=the
overall ^jjb+atrb+++=overall
lowest ^jjt+atrb+++=lowest
incidence ^nn++++=incidence
of ^in++++=of
bare ^jj+atrb+++=bare
complementation ^nn+++??+=complementation
( ^zz++++=(
Figure ^np++++=Figure
1 ^zz++++=1
) ^zz++++=).
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
varieties ^nns++++=varieties,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
some ^dti++++=some
interaction ^nn++++=interaction
( ^zz++++=(albeit
albeit ^cs+sub+++=EXTRAWORD
at ^in++++=at
lower ^jjr++++=lower
p ^zz++++=p
- ^zz++++=-values)
values ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
noun ^nn++++=noun
and ^cc++++=and
article ^nn++++=article
that ^tht+rel+subj++=that
predicts ^vbz+vpub+++=predicts
a ^at++++=a
slightly ^rb+down+++=slightly
higher ^jjr+atrb+++=higher
likelihood ^nn++++=likelihood
of ^in++++=of
bare ^jj+atrb+++=bare
complementation ^nn+++??+=complementation,
, ^zz++++=EXTRAWORD
i.e ^rb++++=i.e.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
fact ^nn++++=fact
, ^zz++++=,
thing ^nn++++=thing
, ^zz++++=,
trouble ^nn++++=trouble
, ^zz++++=,
truth ^nn++++=truth
, ^zz++++=,
and ^cc+cls+++=and
a ^at++++=a
zero ^cd++++=zero
article ^nn++++=article
( ^zz++++=(node
node ^nn+++??+=EXTRAWORD
15 ^cd++++=15);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
similar ^jj+pred+++=similar
to ^in++++=to
the ^ati++++=the
preference ^nn++++=preference
in ^in++++=in
Ause ^np+++??+=AusE,
, ^zz++++=EXTRAWORD
Cane ^nn++++=CanE,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nze ^np+++??+=NZE
to ^to++++=to
prefer ^vbi+vprv+++=prefer
bare ^jj++++=bare
over ^in++++=over
that ^cs+sub+++=that
- ^zz++++=-clause
clause ^nn++++=EXTRAWORD
complementation ^nn+++??+=complementation
with ^in++++=with
zero ^cd++++=zero
article ^nn++++=article
( ^zz++++=(node
node ^nn+++??+=EXTRAWORD
8 ^zz++++=8)
) ^zz++++=EXTRAWORD
for ^in++++=for
almost ^rb+hdg+++=almost
the ^ati++++=the
same ^ap++++=same
set ^nn++++=set
of ^in++++=of
nouns ^nns++++=nouns.
. ^zz++++=EXTRAWORD
