Since ^cs+sub+++=Since
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
generally ^rb+down+++=generally
not ^xnot++not++=not
possible ^jj++++=possible
to ^to+jcmp+++=to
include ^vbi++++=include
all ^abn++++=all
texts ^nns++++=texts
under ^in++++=under
investigation ^nn+nom+++=investigation,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
select ^vbi++++=select
texts ^nns++++=texts
on ^in++++=on
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
stringent ^jj+atrb+++=stringent
criteria ^nns++++=criteria
or ^cc++++=or
by ^in++++=by
random ^jj+atrb+++=random
sampling ^nn+nom+++=sampling
( ^zz++++=(Mautner,
mautner ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019:8 ^cd++++=2019:8).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
clear ^jj+atrb+++=clear
difficulty ^nn++++=difficulty
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
in ^in++++=in
determining ^xvbg+++xvbg+=determining
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
totality ^nn+nom+++=totality
of ^in++++=of
texts ^nns++++=texts
since ^cs+sub+++=since
we ^pp1a+pp1+++=we
may ^md+pos+++=may
only ^rb+down+++=only
discover ^nn+nom+++=discover
that ^tht+vcmp+++=that
a ^at++++=a
corpus ^nn++++=corpus
is ^vbz+bez+vrb++=is
unrepresentative ^jj+pred+++=unrepresentative
if ^cs+cnd+++=if
the ^ati++++=the
results ^nns++++=results
are ^vb+ber+aux++=are
skewed ^vpsv++agls+xvbnx+=skewed
( ^zz++++=(cf.
cf ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tognini ^np+++??+=Tognini-Bonelli
- ^zz++++=EXTRAWORD
bonelli ^nn+++??+=EXTRAWORD
2001 ^cd++++=2001
) ^zz++++=).
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
means ^nn++++=means
of ^in++++=of
sampling ^nn+nom+++=sampling
rely ^vb++++=rely
on ^in++++=on
all ^abn++++=all
items ^nns++++=items
within ^in++++=within
the ^ati++++=the
target ^nn++++=target
population ^nn+nom+++=population
being ^vwbg+beg++xvbg+=being
available ^jj++++=available
for ^in++++=for
selection ^nn+nom+++=selection
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
discussion ^nn++++=discussion
in ^in++++=in
biber ^np++++=Biber,
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993
) ^zz++++=).
. ^zz++++=EXTRAWORD
