Since ^cs+sub+++=Since
context ^nn++++=context
is ^vbz+bez+vrb++=is
often ^rb++++=often
unhelpful ^jj+pred+++=unhelpful
or ^cc+phrs+++=or
ambiguous ^jj++++=ambiguous
( ^zz++++=(in
in ^in++++=EXTRAWORD
cases ^nns++++=cases
of ^in++++=of
reported ^vbd+vpub++xvbn+=reported
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
indeterminate ^jj+atrb+++=indeterminate
meaning ^jj+atrb++xvbg+=meaning
category ^nn++++=category
is ^vbz+bez+aux++=is
comprised ^vpsv++agls+xvbnx+=comprised
of ^in++++=of
tokens ^nns++++=tokens
whose ^whp+rel+obj++=whose
meaning ^nn++++=meaning
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
confidently ^rb++splt++=confidently
discerned ^vpsv++agls+xvbn+=discerned.
. ^zz++++=EXTRAWORD
