One ^cd1++++=One
way ^nn++++=way
to ^in++++=to
analyze ^nn+++??+=analyze
this ^dt+dem+++=this
further ^jjb++++=further
would ^md+prd+++=would
be ^vb+be+aux++=be
to ^to++++=to
conduct ^vbi++++=conduct
t ^zz++++=t-tests
- ^zz++++=EXTRAWORD
tests ^nns++++=EXTRAWORD
for ^in++++=for
each ^ppls++++=each
speaker ^npt++++=speaker
s ^zz++++=s
F1 ^np+++??+=F1
and ^cc++++=and
F2 ^np+++??+=F2
between ^in++++=between
the ^ati++++=the
vowels ^nns++++=vowels.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
problematic ^nn+++??+=problematic;
; ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
relatively ^rb++++=relatively
low ^jj+atrb+++=low
token ^nn++++=token
counts ^npt++++=counts
per ^nnu++++=per
speaker ^npt++++=speaker
and ^cc++++=and
the ^ati++++=the
need ^vb++++=need
to ^to+vcmp+++=to
account ^vb++++=account
for ^in+ppvb+++=for
repeated ^xvbn+++xvbn+=repeated
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=would
likely ^jj++++=likely
find ^vb+vprv+++=find
many ^ap++++=many
non ^&fw++++=non-significant
- ^zz++++=EXTRAWORD
significant ^jj+atrb+++=EXTRAWORD
results ^nns++++=results.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
non ^&fw++++=non-significance
- ^zz++++=EXTRAWORD
significance ^nn++++=EXTRAWORD
could ^md+pos+++=could
indicate ^vb+vprv+++=indicate
complete ^jj+atrb+++=complete
merger ^nn++++=merger
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
difference ^nn++++=difference
in ^in++++=in
mean ^jj+atrb+++=mean
production ^nn++++=production),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
could ^md+pos+++=could
also ^rb++splt++=also
simply ^rb++++=simply
reflect ^vb+vprv+++=reflect
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
power ^nn++++=power.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pool ^nn++++=pool
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
speakers ^nns++++=speakers
with ^in++++=with
the ^ati++++=the
lowest ^jjt++++=lowest
Pillai ^np+++??+=Pillai
scores ^nns++++=scores
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
test ^vb++++=test
for ^in++++=for
any ^dti++++=any
differences ^nns++++=differences.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
use ^nn++++=use
as ^ql++++=as
a ^at++++=a
cut ^vbd+++xvbn+=cut-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
point ^nn++++=point
a ^at++++=a
Pillai ^np+++??+=Pillai
score ^nn++++=score
of ^in++++=of
0.1 ^nn+++??+=0.1,
, ^zz++++=EXTRAWORD
yielding ^vbg+++xvbg+=yielding
six ^cd++++=six
speakers ^nns++++=speakers
( ^zz++++=(
