One ^cd1++++=One
pattern ^nn++++=pattern
that ^tht+rel+subj++=that
does ^vbz+doz+aux++=does
emerge ^vb++++=emerge
is ^vbz+bez+vrb++=is
a ^at++++=a
propensity ^nn++++=propensity
for ^in++++=for
semicontexts ^nns+++??+=semicontexts
in ^in++++=in
Glasgow ^np++++=Glasgow
to ^in++++=to
feature ^nn++++=feature
be ^vb+be+vrb++=be
tags ^nns++++=tags
( ^zz++++=(16
16 ^cd++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
18 ^cd++++=18
cases ^nns++++=cases
featured ^vbd+++xvbn+=featured
be ^vb+be+vrb++=be
forms ^nns++++=forms).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
notably ^rb+cnj+++=notably,
, ^zz++++=EXTRAWORD
int ^nn+++??+=int
is ^vbz+bez+aux++=is
used ^vpsv++agls+xvbnx+=used
12.9 ^cd++++=12.9
percent ^nnu++++=percent
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
in ^in++++=in
semi ^nn+++??+=semi-paradigmatic
- ^zz++++=EXTRAWORD
paradigmatic ^nn+++??+=EXTRAWORD
environments ^nns++++=environments
( ^zz++++=(8
8 ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
62 ^cd++++=62
tokens ^nns++++=tokens)
) ^zz++++=EXTRAWORD
in ^in++++=in
place ^nn++++=place
of ^in++++=of
aren ^nn+++??+=aren
t ^zz++++=t
( ^zz++++=(
N ^zz++++=N
= ^zz++++==
7 ^zz++++=7)
) ^zz++++=EXTRAWORD
and ^cc++++=and
haven ^npl++++=haven
t ^zz++++=t
( ^zz++++=(
N ^zz++++=N
= ^zz++++==
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
could ^md+pos+++=could
reflect ^vb+vprv+++=reflect
the ^ati++++=the
potential ^jj+atrb+++=potential
derivation ^nn++++=derivation
of ^in++++=of
int ^nn+++??+=int
from ^in++++=from
aren ^nn+++??+=aren
t ^zz++++=t
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
section ^nn++++=section
4 ^zz++++=4
) ^zz++++=)
but ^cc++++=but
also ^rb++++=also
demonstrates ^vbz+vpub+++=demonstrates
leveling ^nn+++??+=leveling
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present-tense
- ^zz++++=EXTRAWORD
tense ^jj++++=EXTRAWORD
be ^vb+be+vrb++=be
paradigm ^nn++++=paradigm
in ^in++++=in
negative ^jj+atrb+++=negative
tag ^nn++++=tag
formation ^nn++++=formation,
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
examples ^nns++++=examples
show ^vb+vprv+++=show
lack ^nn++++=lack
of ^in++++=of
agreement ^nn++++=agreement
between ^in++++=between
