One ^cd1++++=One
thing ^nn++++=thing
we ^pp1a+pp1+++=we
can ^md+pos+++=can
say ^vb+vpub+++=say
for ^rb++++=for
certain ^rb"++++=certain
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
London ^np++++=London
is ^vbz+bez+vrb++=is
much ^ap++++=much
further ^jjb++++=further
advanced ^jj+++xvbn+=advanced
in ^in++++=in
the ^ati++++=the
grammaticalization ^nn+nom+++=grammaticalization
of ^in++++=of
negative ^jj+atrb+++=negative
tags ^nns++++=tags
than ^in++++=than
Glasgow ^np++++=Glasgow,
, ^zz++++=EXTRAWORD
Tyneside ^np++++=Tyneside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Salford ^np+++??+=Salford.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
2011 ^cd++++=2011
Census ^nn++++=Census,
, ^zz++++=EXTRAWORD
London ^np++++=London
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
ethnically ^rb++++=ethnically
diverse ^jj+atrb+++=diverse
region ^nn++++=region
in ^in++++=in
England ^np++++=England
( ^zz++++=(
Office ^np++++=Office
for ^in++++=for
National ^jj+atrb+++=National
Statistics ^nn++++=Statistics
2018 ^cd++++=2018
) ^zz++++=)
and ^cc++++=and
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^jjt+atrb+++=highest
percentage ^nn+nom+++=percentage
of ^in++++=of
people ^nns++++=people
( ^zz++++=(12
12 ^cd++++=EXTRAWORD
percent ^nnu++++=percent)
) ^zz++++=EXTRAWORD
reporting ^vbg+++xvbg+=reporting
a ^at++++=a
language ^nn+nom+++=language
other ^ap++++=other
than ^in++++=than
English ^jj++++=English
as ^ql++++=as
their ^pp$+pp3+++=their
main ^jjb+atrb+++=main
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
Northeast ^np+++??+=Northeast
of ^in++++=of
England ^np++++=England
had ^vb+hv+vrb++=had
the ^ati++++=the
lowest ^jjt++++=lowest
( ^zz++++=(3
3 ^zz++++=EXTRAWORD
percent ^nnu++++=percent),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Northwest ^nr++++=Northwest
not ^xnot++not++=not
far ^rb+pl+++=far
behind ^in+pl+++=behind
( ^zz++++=(5
5 ^zz++++=EXTRAWORD
percent ^nnu++++=percent)
) ^zz++++=EXTRAWORD
( ^zz++++=(
Office ^np++++=Office
for ^in++++=for
National ^jj+atrb+++=National
Statistics ^nn++++=Statistics
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
Pichler ^np+++??+=Pichler
( ^zz++++=(2021a)
2021a ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
language ^nn+nom+++=language
contact ^nn++++=contact
between ^in++++=between
multilingual ^jj+atrb+++=multilingual
speakers ^nns+nom+++=speakers
in ^in++++=in
London ^np++++=London
has ^vbz+hvz+aux++=has
facilitated ^vprf+++xvbnx+=facilitated
innit ^nn+++??+=innit
s ^zz++++=s
expansion ^nn++++=expansion
into ^in++++=into
non ^&fw++++=non-canonical
- ^zz++++=EXTRAWORD
canonical ^jj+atrb+++=EXTRAWORD
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
invariant ^nn+nom+++=invariant
tags ^nns++++=tags
are ^vb+ber+vrb++=are
a ^at++++=a
feature ^nn++++=feature
of ^in++++=of
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
L1 ^np+++??+=L1
languages ^nns+nom+++=languages
and ^cc++++=and
non ^&fw++++=non-British
- ^zz++++=EXTRAWORD
british ^jj+atrb+++=EXTRAWORD
varieties ^nns++++=varieties
of ^in++++=of
English ^nn++++=English
spoken ^vbd+++xvbn+=spoken
in ^in++++=in
multi ^nn+++??+=multi-ethnic
- ^zz++++=EXTRAWORD
ethnic ^jj+atrb+++=EXTRAWORD
boroughs ^nns++++=boroughs
of ^in++++=of
London ^np++++=London.
. ^zz++++=EXTRAWORD
Pichler ^np+++??+=Pichler
( ^zz++++=(2021a)
2021a ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
proposes ^vbz+vsua+++=proposes
that ^tht+vcmp+++=that
speakers ^nns+nom+++=speakers
were ^vbd+bed+vrb++=were
able ^jj+pred+++=able
to ^to+jcmp+++=to
map ^vb++++=map
their ^pp$+pp3+++=their
L1 ^np+++??+=L1
and ^cc++++=and
L2 ^np+++??+=L2
English ^jj+atrb+++=English
tag ^nn++++=tag
use ^nn++++=use
with ^in++++=with
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
innit ^nn+++??+=innit
in ^in++++=in
vernacular ^nn++++=vernacular
English ^jj++++=English
in ^in++++=in
the ^ati++++=the
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
boosting ^vbg+++xvbg+=boosting
its ^pp$+it+++=its
frequency ^nn++++=frequency
and ^cc++++=and
expanding ^jj+++xvbg+=expanding
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
linguistic ^jj+atrb+++=linguistic
contexts ^nns++++=contexts
in ^in++++=in
which ^whp+rel+pied++=which
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
can ^md+pos+++=can
lead ^vb++++=lead
us ^pp1o+pp1+++=us
to ^to++++=to
say ^vbi+vpub+tht0++=say
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
innit ^nn+++??+=innit
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
pragmatic ^jj+atrb+++=pragmatic
marker ^nn++++=marker
in ^in++++=in
the ^ati++++=the
speech ^nn++++=speech
of ^in++++=of
young ^jj+atrb+++=young
Londoners ^nns+nom+++=Londoners,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
still ^rb++++=still
very ^ql+amp+++=very
much ^ap++++=much
a ^at++++=a
negative ^jj+atrb+++=negative
tag ^nn++++=tag
in ^in++++=in
glasgow ^np++++=Glasgow,
, ^zz++++=EXTRAWORD
tyneside ^np++++=Tyneside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
salford ^np++++=Salford.
. ^zz++++=EXTRAWORD
