Since ^cs+sub+++=Since
data ^nns++++=data
collection ^nn++++=collection
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
limited ^vwbn+++xvbn+=limited
to ^in++++=to
a ^at++++=a
manageable ^jj+atrb+++=manageable
amount ^nn++++=amount
of ^in++++=of
instances ^nns++++=instances
per ^in++++=per
shell ^nn++++=shell
noun ^nn++++=noun,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
all ^abn++++=all
instances ^nns++++=instances
with ^in++++=with
punctuation ^nn++++=punctuation
following ^vwbg+++xvbg+=following
the ^ati++++=the
complementizer ^nn+++??+=complementizer
were ^vbd+bed+aux++=were
retrieved ^vpsv++agls+xvbnx+=retrieved
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
concordances ^nns+++??+=concordances.
. ^zz++++=EXTRAWORD
A ^at++++=A
more ^rbr++++=more
systematic ^jj+atrb+++=systematic
search ^nn++++=search
for ^in++++=for
similar ^jj+atrb+++=similar
instances ^nns++++=instances
in ^in++++=in
the ^ati++++=the
Now ^rn+tm+++=NOW
corpus ^nn++++=corpus
yields ^vbz++++=yields
further ^jjb+atrb+++=further
evidence ^nn++++=evidence
that ^tht+rel+++=that
constructionalization ^nn+++??+=constructionalization
in ^in++++=in
African ^jj+atrb+++=African
Englishes ^np+++??+=Englishes
has ^vbz+hvz+aux++=has
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
a ^at++++=a
variant ^nn++++=variant
that ^tht+rel+subj++=that
includes ^vb++++=includes
that ^dt+dem+++=that
as ^ql++++=as
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
focalizer ^nn+++??+=focalizer.
. ^zz++++=EXTRAWORD
In ^in++++=In
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
examples ^nns++++=examples
from ^in++++=from
Nigeria ^np++++=Nigeria
and ^cc++++=and
Ghana ^np++++=Ghana
with ^in++++=with
a ^at++++=a
proposition ^nn++++=proposition
clause ^nn++++=clause
that ^tht+rel+subj++=that
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
introduced ^vpsv++by+xvbnx+=introduced
by ^in++++=by
that ^dt+dem+++=that
but ^cc+cls+++=but
where ^wrb+who+++=where
the ^ati++++=the
focalizer ^nn+++??+=focalizer
includes ^vb++++=includes
this ^dt+dem+++=this
( ^zz++++=(former)
former ^ap++++=EXTRAWORD
) ^zz++++=EXTRAWORD
complementizer ^nn+++??+=complementizer,
, ^zz++++=EXTRAWORD
support ^nn++++=support
this ^dt+dem+++=this
view ^nn++++=view.
. ^zz++++=EXTRAWORD
7 ^zz++++=7
Examples ^nns++++=Examples
Are ^vb+ber+aux++=are
Given ^vpsv++agls+xvbn+=given
In ^in++++=in
 ^zz++++=(39)
9 ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
To ^in++++=to
 ^zz++++=(42).
2 ^np++++=EXTRAWORD
	. ^nn++++=EXTRAWORD
