One ^cd1++++=One
potential ^jj+atrb+++=potential
explanation ^nn+nom+++=explanation
for ^in++++=for
the ^ati++++=the
trends ^nns++++=trends
shown ^vbd+vprv++xvbn+=shown
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2
is ^vbz+bez+aux++=is
that ^dt+pdem+++=that
combined ^vbd+++xvbn+=combined
pronoun ^nn++++=pronoun
use ^nn++++=use
merely ^rb+down+++=merely
followed ^vbd+vprv++xvbn+=followed
wider ^jjr+atrb+++=wider
trends ^nns++++=trends
in ^in++++=in
the ^ati++++=the
rise ^nn++++=rise
and ^cc++++=and
fall ^nn++++=fall
of ^in++++=of
third ^od++++=third-person
- ^zz++++=EXTRAWORD
person ^nn++++=EXTRAWORD
pronoun ^nn++++=pronoun
use ^nn++++=use.
. ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
end ^nn++++=end,
, ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
3 ^zz++++=3
shows ^nns++++=shows
the ^ati++++=the
normalized ^jj+atrb++xvbn+=normalized
frequencies ^nns++++=frequencies
of ^in++++=of
all ^rb++++=all
masculine ^jj+atrb+++=masculine
and ^cc+phrs+++=and
feminine ^jj+atrb+++=feminine
pronouns ^nns++++=pronouns
in ^in++++=in
the ^ati++++=the
corpora ^nn+++??+=corpora.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
masculine ^jj+atrb+++=masculine
pronouns ^nns++++=pronouns
were ^vbd+bed+vrb++=were
always ^rb++++=always
more ^rbr++++=more
frequent ^jj++++=frequent
than ^in++++=than
feminine ^jj+atrb+++=feminine
pronouns ^nns++++=pronouns.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
in ^in++++=in
line ^in"++++=line
with ^in"++++=with
Baker ^np++++=Baker
s ^zz++++=s
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
findings ^nns++++=findings
about ^in++++=about
pronoun ^nn++++=pronoun
use ^nn++++=use
in ^in++++=in
the ^ati++++=the
Lob ^np+++??+=LOB
family ^nn++++=family
( ^zz++++=(noted
noted ^vbd+vprv++xvbn+=EXTRAWORD
in ^in++++=in
section ^nn+nom+++=section
3 ^zz++++=3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
that ^tht+vcmp+++=that
men ^nns++++=men
are ^vb+ber+aux++=are
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
more ^rbr++++=more
than ^in++++=than
women ^nns++++=women
in ^in++++=in
all ^rb++++=all
of ^in++++=of
these ^dt+dem+++=these
corpora ^nn+++??+=corpora
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
also ^rb++++=also
Konnelly ^np+++??+=Konnelly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
detailed ^jj+atrb+++=detailed
analysis ^nn++++=analysis
of ^in++++=of
man ^nn++++=man
and ^cc++++=and
woman ^nn++++=woman
in ^in++++=in
a ^at++++=a
recent ^jj+atrb+++=recent
American ^jj+atrb+++=American
corpus ^nn++++=corpus).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
convergence ^nn+nom+++=convergence
post ^nn++++=post-1960s,
- ^zz++++=EXTRAWORD
1960s ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
gap ^nn++++=gap
between ^in++++=between
male ^jj+atrb+++=male
and ^cc+phrs+++=and
female ^jj+atrb+++=female
pronouns ^nns++++=pronouns
is ^vbz+bez+vrb++=is
still ^rb+atrb+++=still
large ^jj+pred+++=large;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
2000s ^cd++++=2000s
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
difference ^nn+nom+++=difference
of ^in++++=of
4895.84 ^cd++++=4895.84
hits ^vbz++++=hits
pmw ^nn+++??+=pmw
in ^in++++=in
bre ^np++++=BrE
and ^cc++++=and
4802.86 ^cd++++=4802.86
hits ^vbz++++=hits
pmw ^nn++++=pmw
in ^in++++=in
ame ^np++++=AmE.
. ^zz++++=EXTRAWORD
