One ^cd1++++=One
instance ^nn++++=instance
of ^in++++=of
adversative ^nn+++??+=adversative
( ^zz++++=(
lest ^cs+sub+++=lest
something ^pn++++=something
should ^md+nec+++=should
happen ^vb+++??+=happen
) ^zz++++=)
and ^cc++++=and
none ^rb++++=none
of ^in++++=of
purposive ^jj++++=purposive
( ^zz++++=(
in ^in++++=in
order ^vb++++=order
that ^tht+vcmp+++=that
something ^pn++++=something
should ^md+nec+++=should
happen ^vb+++??+=happen
) ^zz++++=)
uses ^vbz++++=uses
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
these ^dt+dem+++=these
corpora ^nn+++??+=corpora,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
surprising ^xvbg+++xvbg+=surprising
given ^vwbn+++xvbn+=given
that ^dt+dem+++=that
Collins ^np++++=Collins
( ^zz++++=(2009a
2009a ^cd++++=EXTRAWORD
: ^zz++++=:48)
48 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
only ^rb+down+++=only
finds ^vbz+vprv+++=finds
a ^at++++=a
small ^jj+atrb+++=small
handful ^nn++++=handful
of ^in++++=of
them ^pp3o+pp3+++=them
in ^in++++=in
much ^ap++++=much
bigger ^jjr++++=bigger
and ^cc++++=and
more ^rbr++++=more
diversified ^vbd+++xvbn+=diversified
corpora ^nn+++??+=corpora
of ^in++++=of
british ^jj++++=British,
, ^zz++++=EXTRAWORD
american ^jj++++=American,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
australian ^jj++++=Australian
english ^jj++++=English.
. ^zz++++=EXTRAWORD
