Research ^nn++++=Research
that ^tht+rel+subj++=that
combines ^vbz++++=combines
a ^at++++=a
Construction ^nn++++=Construction
Grammar ^nn++++=Grammar
approach ^nn++++=approach
to ^in++++=to
syntactic ^jj+atrb+++=syntactic
variation ^nn++++=variation
and ^cc++++=and
change ^nn++++=change
with ^in++++=with
a ^at++++=a
Wes ^np+++??+=WEs
perspective ^nn++++=perspective
is ^vbz+bez+vrb++=is
still ^rb++++=still
relatively ^rb++++=relatively
rare ^jj++++=rare
( ^zz++++=(cf.
cf ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hoffmann ^np+++??+=Hoffmann
2014 ^cd++++=2014
, ^zz++++=,
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
s ^zz++++=s
aim ^nn++++=aim
was ^vbd+bedz+aux++=was
to ^to++++=to
bring ^vbi++++=bring
the ^ati++++=the
two ^cd++++=two
strands ^nns++++=strands
of ^in++++=of
research ^nn++++=research
together ^rb++++=together
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
( ^zz++++=(i)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
test ^nn++++=test
whether ^cs+who+++=whether
Wes ^np+++??+=WEs
data ^nns++++=data
would ^md+prd+++=would
add ^vb+vpub+++=add
relevant ^jj+atrb+++=relevant
detail ^nn++++=detail
to ^in++++=to
a ^at++++=a
case ^nn++++=case
study ^nn++++=study
on ^in++++=on
ongoing ^nn+++??+=ongoing
constructionalization ^nn+++??+=constructionalization
and ^cc++++=and
( ^zz++++=(ii)
ii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
verify ^vb+vpub+++=verify
whether ^cs+who+++=whether
patterns ^nns++++=patterns
of ^in++++=of
regional ^jj+atrb+++=regional
variation ^nn++++=variation
or ^cc++++=or
nativization ^nn+++??+=nativization
could ^md+pos+++=could
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
The ^ati++++=The
review ^nn++++=review
of ^in++++=of
previous ^jj+atrb+++=previous
research ^nn++++=research
into ^in++++=into
constructionalization ^nn+++??+=constructionalization,
, ^zz++++=EXTRAWORD
N ^zz++++=N-is
- ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
focalizers ^nns+++??+=focalizers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Wes ^np+++??+=WEs
gave ^vbd+++xvbn+=gave
rise ^nn++++=rise
to ^in++++=to
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
hypotheses ^nns++++=hypotheses
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
against ^in++++=against
corpus ^nn++++=corpus
data ^nns++++=data
from ^in++++=from
a ^at++++=a
large ^jj++++=large,
, ^zz++++=EXTRAWORD
web ^nn++++=web-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
monitor ^nn++++=monitor
corpus ^nn++++=corpus.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
section ^nn++++=section
I ^pp1a+pp1+++=I
discuss ^vb++++=discuss
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
quantitative ^jj+atrb+++=quantitative
and ^cc+phrs+++=and
qualitative ^jj+atrb+++=qualitative
analyses ^nns++++=analyses
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
hypotheses ^nns++++=hypotheses
and ^cc++++=and
consider ^vb+vprv+++=consider
the ^ati++++=the
contribution ^nn++++=contribution
that ^tht+rel+obj++=that
these ^dt+pdem+++=these
make ^vb++++=make
to ^in++++=to
the ^ati++++=the
intersection ^nn++++=intersection
of ^in++++=of
constructionalization ^nn+++??+=constructionalization
and ^cc++++=and
Wes ^np+++??+=WEs
research ^nn++++=research.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
is ^vbz+bez+vrb++=is
able ^jj+pred+++=able
to ^to+jcmp+++=to
answer ^vb++++=answer
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
initial ^jj+atrb+++=initial
questions ^nns++++=questions
but ^cc++++=but
also ^rb++++=also
opens ^vbz++++=opens
up ^rp++++=up
avenues ^nns++++=avenues
for ^in++++=for
further ^jjb+atrb+++=further
research ^nn++++=research.
. ^zz++++=EXTRAWORD
