Having ^xvbg+++xvbg+=Having
established ^vbn+vprv++xvbn+=established
that ^tht+vcmp+++=that
tag ^nn++++=tag
erosion ^nn++++=erosion
occurs ^vbz++++=occurs
to ^in++++=to
some ^dti++++=some
degree ^nn++++=degree
in ^in++++=in
all ^rb++++=all
three ^cd++++=three
varieties ^nns++++=varieties
of ^in++++=of
English ^nn++++=English
studied ^vbd+++xvbn+=studied,
, ^zz++++=EXTRAWORD
the ^ati++++=the
next ^ap++++=next
analysis ^nn++++=analysis
concerns ^nns++++=concerns
paradigmaticity ^nn+++??+=paradigmaticity
as ^ql++++=as
a ^at++++=a
measure ^nn++++=measure
of ^in++++=of
decategorialization ^nn+++??+=decategorialization.
. ^zz++++=EXTRAWORD
Tags ^nns++++=Tags
that ^tht+rel+subj++=that
fail ^vb++++=fail
to ^to+vcmp+++=to
agree ^vbi+vpub+++=agree
with ^in++++=with
their ^pp$+pp3+++=their
anchor ^nn++++=anchor
clause ^nn++++=clause
either ^dtx++++=either
entirely ^rb+amp+++=entirely
( ^zz++++=(non-paradigmatic
non ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
paradigmatic ^nn+++??+=EXTRAWORD
tags ^nns++++=tags)
) ^zz++++=EXTRAWORD
or ^cc++++=or
partly ^rb+down+++=partly
( ^zz++++=(semi-paradigmatic
semi ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
paradigmatic ^nn+++??+=EXTRAWORD
tags ^nns++++=tags)
) ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
have ^vbi++vrb++=have
weaker ^jjr+atrb+++=weaker
ties ^nns++++=ties
to ^in++++=to
the ^ati++++=the
anchor ^nn++++=anchor
than ^in++++=than
those ^dt+pdem+++=those
which ^whp+rel+subj++=which
do ^vb+do+aux++=do
agree ^vb+vpub+++=agree
( ^zz++++=(paradigmatic
paradigmatic ^nn+++??+=EXTRAWORD
tags ^nns++++=tags).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tags ^nns++++=Tags
where ^wrb+who+++=where
paradigmaticity ^nn+++??+=paradigmaticity
was ^vbd+bedz+vrb++=was
ambiguous ^jj+pred+++=ambiguous
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
section ^nn++++=section
4.22 ^cd++++=4.22
) ^zz++++=)
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbn+=excluded
from ^in++++=from
this ^dt+dem+++=this
analysis ^nn++++=analysis
( ^zz++++=(
n ^zz++++=N
= ^zz++++==
43 ^cd++++=43).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
