One ^cd1++++=One
interactional ^jj+atrb+++=interactional
approach ^nn++++=approach
to ^in++++=to
online ^jj+atrb++??+=online
discussions ^nns++++=discussions
is ^vbz+bez+vrb++=is
digital ^jj+atrb+++=digital
Ca ^np++++=CA
, ^zz++++=,
a ^at++++=a
methodology ^nn++++=methodology
developed ^vwbn+++xvbn+=developed
by ^in++++=by
Giles ^np+++??+=Giles
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
adapted ^vbd+++xvbn+=adapted
the ^ati++++=the
principles ^nns++++=principles
of ^in++++=of
( ^zz++++=(spoken)
spoken ^jj+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
conversation ^nn+nom+++=conversation
analysis ^nn++++=analysis
( ^zz++++=(CA)
ca ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
examine ^vbi++++=examine
online ^nn+++??+=online
data ^nns++++=data.
. ^zz++++=EXTRAWORD
Essentially ^rb+cnj+++=Essentially,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
approach ^nn++++=approach
analyses ^nns++++=analyses
a ^at++++=a
conversation ^nn+nom+++=conversation
turn ^nn++++=turn-by-turn
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
turn ^nn++++=EXTRAWORD
to ^to++++=to
understand ^vbi+vprv+++=understand
social ^jj+atrb+++=social
interactions ^nns+nom+++=interactions
( ^zz++++=(
Sacks ^np++++=Sacks
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1974 ^cd+date+++=1974
) ^zz++++=).
. ^zz++++=EXTRAWORD
A ^at++++=A
conversation ^nn+nom+++=conversation
can ^md+pos+++=can
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
as ^ql++++=as
a ^at++++=a
sequence ^nn+nom+++=sequence
of ^in++++=of
actions ^nns+nom+++=actions
or ^cc++++=or
conversational ^jj+atrb+++=conversational
moves ^nns++++=moves,
, ^zz++++=EXTRAWORD
such ^abl++++=such
that ^dt+dem+++=that
each ^dt++++=each
turn ^nn++++=turn
can ^md+pos+++=can
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
an ^at++++=an
immediate ^jj+atrb+++=immediate
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
preceding ^jj+atrb++xvbg+=preceding
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
be ^vb+be+aux++=be
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
elicit ^vbi++++=elicit
response ^nn++++=response
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
Ca ^np++++=CA
analyses ^nns++++=analyses
the ^ati++++=the
language ^nn+nom+++=language
practice ^nn++++=practice
in ^in++++=in
each ^dt++++=each
turn ^nn++++=turn
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
the ^ati++++=the
adjacent ^jj+atrb+++=adjacent
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
In ^in++++=In
digital ^jj+atrb+++=digital
Ca ^np++++=CA,
, ^zz++++=EXTRAWORD
the ^ati++++=the
post ^nn++++=post
and ^cc++++=and
replies ^nns++++=replies
within ^in++++=within
a ^at++++=a
thread ^nn++++=thread
can ^md+pos+++=can
be ^vb+be+aux++=be
loosely ^rb++splt++=loosely
operationalized ^vpsv++agls+xvbnx+=operationalized
as ^ql++++=as
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
turn ^nn++++=turn-taking
- ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=EXTRAWORD
in ^rb+phrv+++=in
spoken ^jj+atrb++xvbn+=spoken
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
users ^nns++++=users
do ^vb+do+aux++=do
not ^xnot++not++=not
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
compete ^vb++++=compete
for ^in++++=for
conversational ^jj+atrb+++=conversational
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
turn ^nn++++=turn-taking
- ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=EXTRAWORD
within ^in++++=within
a ^at++++=a
thread ^nn++++=thread
can ^md+pos+++=can
interleave ^vb+++??+=interleave
with ^in++++=with
multiple ^jj+atrb+++=multiple
conversations ^nns+nom+++=conversations
and ^cc++++=and
a ^at++++=a
turn ^nn++++=turn
can ^md+pos+++=can
be ^vb+be+vrb++=be
one ^cd1++++=one-to-many
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
many ^ap++++=EXTRAWORD
( ^zz++++=(
herring ^nn++++=Herring,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999
; ^zz++++=;
k ^zz++++=K
nig ^nn++++=nig,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
