Using ^vbg+++xvbg+=Using
doublets ^nns+nom+++=doublets
involving ^vwbg+++xvbg+=involving
various ^jj+atrb+++=various
classes ^nns++++=classes
of ^in++++=of
words ^nns++++=words
to ^to++++=to
render ^vbi++++=render
a ^at++++=a
single ^jj+atrb+++=single
Latin ^jj+atrb+++=Latin
word ^nn++++=word
is ^vbz+bez+vrb++=is
characteristic ^jj+pred+++=characteristic
of ^in++++=of
interlinear ^nn+++??+=interlinear
glosses ^nns+++??+=glosses,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
by ^in++++=by
Kuhn ^np+++??+=Kuhn
( ^zz++++=(1947)
1947 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Kotake ^np+++??+=Kotake
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=.
Although ^cs+con+++=Although
the ^ati++++=the
texts ^nns++++=texts
in ^in++++=in
question ^nn+nom+++=question
are ^vb+ber+vrb++=are
not ^xnot++not++=not
glosses ^nns+++??+=glosses,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
likely ^jj+atrb+++=likely
draw ^nn++++=draw
upon ^in++++=upon
this ^dt+dem+++=this
tradition ^nn+nom+++=tradition
in ^in++++=in
any ^dti++++=any
case ^nn++++=case,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
use ^vb++++=use
two ^cd++++=two
words ^nns++++=words
to ^to++++=to
render ^vbi++++=render
one ^cd1++++=one
item ^nn++++=item
from ^in++++=from
the ^ati++++=the
source ^nn++++=source.
. ^zz++++=EXTRAWORD
Motivations ^nns+nom+++=Motivations
behind ^in+pl+++=behind
double ^jj+atrb+++=double
glosses ^nns+++??+=glosses
differ ^vb++++=differ,
, ^zz++++=EXTRAWORD
as ^ql++++=as
do ^vb+do+vrb++=do
classifications ^nns+nom+++=classifications
of ^in++++=of
such ^abl++++=such
pairs ^nns++++=pairs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Kotake ^np+++??+=Kotake
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
finds ^vbz+vprv+++=finds
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
to ^to++++=to
be ^vbi++vrb++=be
binomials ^nns+nom+++=binomials,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
for ^in++++=for
Kopaczyk ^np+++??+=Kopaczyk
and ^cc++++=and
Sauer ^np+++??+=Sauer
( ^zz++++=(2017
2017 ^cd++++=EXTRAWORD
: ^zz++++=:16)
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
first ^rb++++=first
and ^cc++++=and
foremost ^jj++++=foremost
characterized ^vpsv++by+xvbn+=characterized
by ^in++++=by
repetition ^nn+nom+++=repetition,
, ^zz++++=EXTRAWORD
including ^in++++=including
semantic ^jj+atrb+++=semantic
repetition ^nn+nom+++=repetition,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
reason ^nn++++=reason
why ^wrb+who+++=why
a ^at++++=a
binomial ^nn++++=binomial
arises ^vbz++++=arises
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Regardless ^rb++++=Regardless
of ^in++++=of
whether ^cs+who+++=whether
the ^ati++++=the
analyzed ^jj+atrb++xvbn+=analyzed
examples ^nns++++=examples
of ^in++++=of
Acan ^np+++??+=ACAN
are ^vb+ber+aux++=are
labeled ^vpsv++agls+xvbnx+=labeled
binomials ^nns+nom+++=binomials,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
seem ^vb+seem+++=seem
