Having ^xvbg+++xvbg+=Having
considered ^vbd+vprv++xvbn+=considered
the ^ati++++=the
four ^cd++++=four
mechanisms ^nns+nom+++=mechanisms
of ^in++++=of
grammaticalization ^nn+nom+++=grammaticalization
separately ^rb++++=separately
erosion ^nn++++=erosion,
, ^zz++++=EXTRAWORD
decategorialization ^nn+nom+++=decategorialization,
, ^zz++++=EXTRAWORD
desemanticization ^nn+nom+++=desemanticization,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
extension ^nn++++=extension
a ^at++++=a
question ^nn+nom+++=question
that ^tht+rel+subj++=that
emerges ^vbz++++=emerges
is ^vbz+bez+vrb++=is
whether ^cs+who+++=whether
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
any ^dti++++=any
tendency ^nn++++=tendency
for ^in++++=for
one ^cd1++++=one
or ^cc++++=or
more ^ql++++=more
mechanisms ^nns+nom+++=mechanisms
to ^to++++=to
occur ^vbi++++=occur
before ^in++++=before
others ^aps++++=others.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
Bybee ^np+++??+=Bybee,
, ^zz++++=EXTRAWORD
Perkins ^np++++=Perkins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Pagliuca ^np+++??+=Pagliuca
s ^zz++++=s
( ^zz++++=(1994)
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
parallel ^nn++++=parallel
reduction ^nn+nom+++=reduction
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
a ^at++++=a
construction ^nn+nom+++=construction
increases ^nns++++=increases
and ^cc++++=and
its ^pp$+it+++=its
use ^nn++++=use
becomes ^vbz++++=becomes
more ^rbr++++=more
habitual ^jj++++=habitual,
, ^zz++++=EXTRAWORD
desemanticization ^nn+nom+++=desemanticization
occurs ^vbz++++=occurs
and ^cc++++=and
this ^dt+pdem+++=this
directly ^rb++++=directly
causes ^vbz++++=causes
erosion ^nn++++=erosion.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
delay ^nn++++=delay
in ^in++++=in
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
erosion ^nn++++=erosion,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
two ^cd++++=two
go ^vb++++=go
hand ^nn++++=hand
in ^in++++=in
hand ^nn++++=hand
( ^zz++++=(
Lehmann ^np++++=Lehmann
2015 ^cd++++=2015
: ^zz++++=:135;
135 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Deh ^np+++??+=Deh
& ^zz++++=&
Stathi ^np+++??+=Stathi
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
agree ^vb+vpub+++=agree
that ^tht+vcmp+++=that
desemanticization ^nn+nom+++=desemanticization
occurs ^vbz++++=occurs
prior ^rb++++=prior
to ^to++++=to
and ^cc++++=and
causes ^nns++++=causes
erosion ^nn++++=erosion
( ^zz++++=(and
and ^cc++++=EXTRAWORD
decategorialization ^nn+nom+++=decategorialization)
) ^zz++++=EXTRAWORD
but ^cc++++=but
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
more ^rbr++++=more
of ^in++++=of
a ^at++++=a
delay ^nn++++=delay
between ^in++++=between
the ^ati++++=the
initial ^jj+atrb+++=initial
change ^nn++++=change
in ^in++++=in
meaning ^xvbg+++xvbg+=meaning
and ^cc++++=and
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
mechanisms ^nns+nom+++=mechanisms
( ^zz++++=(
Haspelmath ^np++++=Haspelmath
1999 ^cd+date+++=1999
: ^zz++++=:1062;
1062 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Detges ^np+++??+=Detges
& ^zz++++=&
Waltereit ^np+++??+=Waltereit
2002 ^cd++++=2002
: ^zz++++=:172;
172 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Heine ^np+++??+=Heine
2003 ^cd++++=2003
: ^zz++++=:583;
583 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Zilles ^np+++??+=Zilles
2005 ^cd++++=2005
; ^zz++++=;
Heine ^np+++??+=Heine
2018b ^cd++++=2018b
: ^zz++++=:
34 ^cd++++=34).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^ql++++=As
Kuteva ^np+++??+=Kuteva
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019
2019 ^cd++++=EXTRAWORD
: ^zz++++=:4)
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
explain ^vb+vpub+++=explain,
, ^zz++++=EXTRAWORD
new ^jj+atrb+++=new
grammatical ^jj+atrb+++=grammatical
meanings ^nns++++=meanings
arise ^vb++++=arise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
usually ^rb+down+++=usually
takes ^vbz++++=takes
quite ^rb++++=quite
some ^dti++++=some
time ^nn++++=time
before ^in++++=before
any ^dti++++=any
corresponding ^jj+++xvbg+=corresponding
morphological ^jj++++=morphological,
, ^zz++++=EXTRAWORD
syntactic ^jj++++=syntactic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and/or
phonetic ^jj+atrb+++=phonetic
changes ^nns++++=changes
can ^md+pos+++=can
be ^vb+be+aux++=be
observed ^vpsv++agls+xvbnx+=observed.
. ^zz++++=EXTRAWORD
Functional ^jj+atrb+++=Functional
ambiguity ^nn+nom+++=ambiguity
can ^md+pos+++=can
lead ^vb++++=lead
to ^in++++=to
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
new ^jj+atrb+++=new
meanings ^nns++++=meanings,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
eventually ^rb+tm+++=eventually
leads ^vbz++++=leads
to ^in++++=to
reanalysis ^nns+++??+=reanalysis:
: ^zz++++=EXTRAWORD
speakers ^nns+nom+++=speakers
extend ^vb++++=extend
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
old ^jj+atrb+++=old
constructions ^nns+nom+++=constructions
( ^zz++++=(and
and ^cc++++=EXTRAWORD
words ^nns++++=words)
) ^zz++++=EXTRAWORD
to ^in++++=to
novel ^nn++++=novel
contexts ^nns++++=contexts
[ ^zz++++=[
] ^zz++++=]
[ ^zz++++=[s]tructural
s]tructural ^jj++++=EXTRAWORD
re ^in++++=re-adjustment,
- ^zz++++=EXTRAWORD
adjustment ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
re ^in++++=re-analysis
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
and ^cc++++=and
simplification ^nn+nom+++=simplification
eventually ^rb+tm+++=eventually
follow ^vb+vprv+++=follow
( ^zz++++=(
giv ^np++++=Giv
n ^zz++++=n
[ ^zz++++=[1979]
1979 ^cd+date+++=EXTRAWORD
] ^zz++++=EXTRAWORD
2018 ^cd++++=2018
: ^zz++++=:20).
