Research ^nn++++=Research
questions ^nns+nom+++=questions
addressed ^vbd+++xvbn+=addressed
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper
are ^vb+ber+vrb++=are:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
What ^wdt+who+++=What
are ^vb+ber+vrb++=are
the ^ati++++=the
challenges ^nn++++=challenges
in ^in++++=in
data ^nns++++=data
preparation ^nn+nom+++=preparation
for ^in++++=for
archiving ^xvbg+++xvbg+=archiving
hard ^jj++++=hard-to-access,
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
access ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sensitive ^jj+atrb+++=sensitive
textual ^jj+atrb+++=textual
data ^nns++++=data,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
around ^in++++=around
anonymisation ^nn+nom+++=anonymisation
coding ^vwbg+++xvbg+=coding?
? ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
Given ^vbd+++xvbn+=Given
the ^ati++++=the
adopted ^jj+atrb++xvbn+=adopted
solution ^nn+nom+++=solution
of ^in++++=of
creating ^xvbg+++xvbg+=creating
a ^at++++=a
separate ^jj+atrb+++=separate
corpus ^nn++++=corpus
for ^in++++=for
archiving ^xvbg+++xvbg+=archiving,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
do ^vb+do+aux++=do
the ^ati++++=the
differences ^nns+nom+++=differences
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
versions ^nns++++=versions
of ^in++++=of
the ^ati++++=the
Wisp ^nn++++=WiSP
corpus ^nn++++=corpus
affect ^vb++++=affect
findings ^nns++++=findings?
? ^zz++++=EXTRAWORD
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
To ^to++++=To
what ^wdt+who+++=what
extent ^nn++++=extent
do ^vb+do+vrb++=do
the ^ati++++=the
issues ^nn++++=issues
raised ^vbd+++xvbn+=raised
and ^cc++++=and
solutions ^nns+nom+++=solutions
found ^vbd+vprv++xvbn+=found
problematise ^vb++++=problematise
conventionally ^rb++++=conventionally-accepted
- ^zz++++=EXTRAWORD
accepted ^vbn+vprv+++=EXTRAWORD
principles ^nns++++=principles
in ^in++++=in
corpus ^nn++++=corpus
building ^nn++++=building?
? ^zz++++=EXTRAWORD
