Other ^ap++++=Other
frequently ^rb++++=frequently
studied ^vbd+++xvbn+=studied
areas ^nns++++=areas
included ^vbd+++xvbn+=included
emerging ^vbg+++xvbg+=emerging
technologies ^nns+++??+=technologies
for ^in++++=for
learning ^xvbg+++xvbg+=learning
such ^abl++++=such
as ^ql++++=as
video ^vb+++??+=video
games ^nns++++=games
in ^in++++=in
education ^nn++++=education,
, ^zz++++=EXTRAWORD
human ^jj++++=human-computer
- ^zz++++=EXTRAWORD
computer ^nn++++=EXTRAWORD
interaction ^nn++++=interaction,
, ^zz++++=EXTRAWORD
behavior ^nn++++=behavior
design ^nn++++=design,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
computational ^jj++++=computational
thinking ^jj+++xvbg+=thinking
as ^ql++++=as
well ^rb++++=well
as ^ql++++=as
educational ^jj+atrb+++=educational
innovation ^nn++++=innovation,
, ^zz++++=EXTRAWORD
entrepreneurship ^nn+++??+=entrepreneurship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
inclusion ^nn++++=inclusion.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
research ^nn++++=research
focused ^vbd+++xvbn+=focused
on ^in++++=on
both ^abx++++=both
quantitative ^jj+atrb+++=quantitative
and ^cc+phrs+++=and
qualitative ^jj+atrb+++=qualitative
methodologies ^nns+++??+=methodologies,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
topics ^nns++++=topics
related ^vbd+++xvbn+=related
to ^in++++=to
degree ^nn++++=degree
work ^nn++++=work
and ^cc++++=and
internships ^nns++++=internships,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
prominent ^jj+atrb+++=prominent
areas ^nns++++=areas
identified ^vpsv++agls+xvbn+=identified.
. ^zz++++=EXTRAWORD
