Since ^cs+sub+++=Since
Dhea ^np+++??+=DHEA-S
- ^zz++++=EXTRAWORD
s ^zz++++=EXTRAWORD
shows ^vbz+vprv+++=shows
little ^ap++++=little
diurnal ^jj+atrb+++=diurnal
variation ^nn++++=variation,
, ^zz++++=EXTRAWORD
a ^at++++=a
single ^jj++++=single,
, ^zz++++=EXTRAWORD
morning ^nn++++=morning
( ^zz++++=(08:00-12:30),
08:00 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
12:30 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
stimulated ^jj+atrb++xvbn+=stimulated
saliva ^nn++++=saliva
sample ^nn++++=sample
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
in ^in++++=in
5 ^zz++++=5
ml ^nnu++++=mL
polypropylene ^nn+++??+=polypropylene
vials ^nns+++??+=vials
at ^in++++=at
least ^ql++++=least
1 ^zz++++=1
hour ^nn++++=hour
after ^cs+sub+++=after
eating ^xvbg+++xvbg+=eating
or ^cc++++=or
drinking ^xvbg+++xvbg+=drinking
using ^vbg+++xvbg+=using
flavorless ^nns+++??+=flavorless
gum ^np++++=gum
base ^nn++++=base
( ^zz++++=(Cafosa
cafosa ^nn+++??+=EXTRAWORD
, ^zz++++=,
Barcelona ^np++++=Barcelona,
, ^zz++++=EXTRAWORD
Spain ^np++++=Spain).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept
on ^rb+phrv+++=on
ice ^nn++++=ice
until ^in++++=until
transported ^nn++++=transported
to ^in++++=to
the ^ati++++=the
laboratory ^nn++++=laboratory
at ^in++++=at
Cinvestav ^np+++??+=CINVESTAV-Merida,
- ^zz++++=EXTRAWORD
merida ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
stored ^vbd+++xvbn+=stored
at ^rb++++=at
80 ^cd++++=80
C ^zz++++=C
until ^cs+sub+++=until
assayed ^nn+++??+=assayed
using ^vwbg+++xvbg+=using
a ^at++++=a
Dhea ^np+++??+=DHEA-S
- ^zz++++=EXTRAWORD
s ^zz++++=EXTRAWORD
Elisa ^np+++??+=ELISA
( ^zz++++=(Salimetrics
salimetrics ^nns+++??+=EXTRAWORD
) ^zz++++=).
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
were ^vbd+bed+aux++=were
processed ^vpsv++agls+xvbnx+=processed
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
batch ^nn++++=batch
according ^in+cmpx+++=according
to ^in++++=to
manufacturer ^nn++++=manufacturer
instructions ^nns++++=instructions.
. ^zz++++=EXTRAWORD
Elisa ^np+++??+=ELISA
absorbance ^nn+++??+=absorbance
was ^vbd+bedz+aux++=was
read ^vpsv++agls+xvbnx+=read
using ^vbg+++xvbg+=using
a ^at++++=a
Biorad ^np+++??+=Biorad
microtiter ^nn+++??+=microtiter
plate ^nn++++=plate
reader ^nn++++=reader
at ^in++++=at
450 ^cd++++=450
nm ^nn+++??+=nm
without ^in++++=without
correction ^nn++++=correction.
. ^zz++++=EXTRAWORD
Reproducibility ^np+++??+=Reproducibility
was ^vbd+bedz+aux++=was
assessed ^vpsv++by+xvbnx+=assessed
by ^in++++=by
two ^cd++++=two
pooled ^vbd+++xvbn+=pooled,
, ^zz++++=EXTRAWORD
blinded ^xvbn+++xvbn+=blinded
quality ^nn++++=quality
control ^nn++++=control
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
Intra ^np+++??+=Intra-assay
- ^zz++++=EXTRAWORD
assay ^nn++++=EXTRAWORD
coefficient ^nn++++=coefficient
was ^vbd+bedz+vrb++=was
19.7 ^cd+date+++=19.7%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
detection ^nn++++=detection
limits ^nns++++=limits
43 ^cd++++=43
and ^cc++++=and
16 ^cd++++=16
000 ^nn+++??+=000
pg ^nn+++??+=pg/mL,
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lower ^jjr++++=lower
limit ^vb++++=limit
of ^in++++=of
functional ^jj+atrb+++=functional
assay ^nn++++=assay
range ^nn++++=range,
, ^zz++++=EXTRAWORD
188.9 ^cd++++=188.9
pg ^nn++++=pg/mL.
