Since ^cs+sub+++=Since
socioeconomic ^nn+++??+=socioeconomic
status ^nn++++=status
can ^md+pos+++=can
influence ^vb++++=influence
resource ^nn++++=resource
availability ^nn++++=availability
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
affect ^vb++++=affect
living ^jj+atrb++xvbg+=living
conditions ^nns++++=conditions
across ^in+pl+++=across
the ^ati++++=the
lifespan ^nn+++??+=lifespan,
, ^zz++++=EXTRAWORD
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
Ssd ^np+++??+=SSD
may ^md+pos+++=may
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
fluctuate ^vbi+++??+=fluctuate
between ^in++++=between
class ^nn++++=class
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
A ^at++++=A
cohort ^nn++++=cohort
study ^nn++++=study
from ^in++++=from
20th ^cd++++=20th
Spain ^np++++=Spain
using ^vwbg+++xvbg+=using
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbd+vpub++xvbn+=EXTRAWORD
height ^nn++++=height
and ^cc++++=and
socioeconomic ^jj+atrb++??+=socioeconomic
information ^nn++++=information
( ^zz++++=(using
using ^vbg+++xvbg+=EXTRAWORD
educational ^jj+atrb+++=educational
attainment ^nn++++=attainment
as ^in++++=as
a ^at++++=a
proxy ^nn+++??+=proxy
for ^in++++=for
status ^nn++++=status),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
found ^vb+++xvbn+=found
that ^tht+vcmp+++=that
middle ^jjb++++=middle-upper
- ^zz++++=EXTRAWORD
upper ^jjb+atrb+++=EXTRAWORD
classes ^nns++++=classes
exhibited ^vbd+++xvbn+=exhibited
higher ^jjr+atrb+++=higher
values ^nns++++=values
of ^in++++=of
Ssd ^np+++??+=SSD
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
similar ^jj+pred+++=similar
to ^in++++=to
the ^ati++++=the
modern ^jj+atrb+++=modern
population ^nn++++=population
earlier ^jjr++++=earlier
than ^cs+sub+++=than
did ^vbd+dod+vrb++=did
the ^ati++++=the
lower ^jjr++++=lower
Ses ^np+++??+=SES
group ^nn++++=group
( ^zz++++=(C
c ^zz++++=EXTRAWORD
mara ^nn+++??+=mara,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
low ^jj+atrb+++=low
Ssd ^np+++??+=SSD
in ^in++++=in
the ^ati++++=the
Badarin ^np+++??+=Badarin
population ^nn++++=population
of ^in++++=of
predynastic ^nn+++??+=predynastic
Egypt ^np++++=Egypt
( ^zz++++=(ca.
ca ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
5000 ^cd++++=5000
3900 ^cd++++=3900
Bc ^&fo++++=BC)
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
higher ^jjr+atrb+++=higher
degree ^nn++++=degree
in ^in++++=in
the ^ati++++=the
Late ^jj+atrb+++=Late
Predynastic ^np+++??+=Predynastic
population ^nn++++=population
( ^zz++++=(ca.
ca ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3500 ^cd++++=3500
3100 ^cd++++=3100
Bc ^&fo++++=BC)
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
follow ^vbi+vprv+++=follow
patterns ^nns++++=patterns
of ^in++++=of
social ^jj+atrb+++=social
complexity ^nn++++=complexity,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
Badarin ^np+++??+=Badarin
were ^vbd+bed+vrb++=were
more ^rbr++++=more
egalitarian ^jj+pred+++=egalitarian
while ^cs+sub+++=while
social ^jj+atrb+++=social
hierarchy ^nn++++=hierarchy
and ^cc++++=and
ranking ^xvbg+++xvbg+=ranking
developed ^vwbn+++xvbn+=developed
in ^in++++=in
the ^ati++++=the
later ^rbr+tm+++=later
period ^nn++++=period
( ^zz++++=(Zakrzewski,
zakrzewski ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Sohn ^np+++??+=Sohn
( ^zz++++=(
2016 ^cd++++=2016
) ^zz++++=)
found ^vbd+vprv++xvbn+=found
no ^at++++=no
increase ^nn++++=increase
in ^in++++=in
Ssd ^np+++??+=SSD
for ^in++++=for
a ^at++++=a
representative ^jj+atrb+++=representative
sample ^nn++++=sample
of ^in++++=of
South ^np+pl+++=South
Korean ^jj+atrb+++=Korean
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
stratified ^jj++++=stratified
by ^in++++=by
socioeconomic ^nn+++??+=socioeconomic
status ^nn++++=status,
, ^zz++++=EXTRAWORD
from ^in++++=from
1941 ^cd+date+++=1941
to ^to++++=to
1990 ^cd+date+++=1990
despite ^in++++=despite
improvements ^nns++++=improvements
in ^in++++=in
gdp ^np++++=GDP
per ^nnu++++=per
capita ^nn++++=capita
and ^cc++++=and
life ^nn++++=life
expectancy ^nn++++=expectancy
at ^in++++=at
birth ^nn++++=birth.
. ^zz++++=EXTRAWORD
