Raw ^jj+atrb+++=Raw
sequencing ^jj+atrb++xvbg+=sequencing
fastq ^nn+++??+=fastq
files ^nns++++=files
were ^vbd+bed+aux++=were
processed ^vpsv++agls+xvbnx+=processed
using ^vbg+++xvbg+=using
cutadapt ^jj+++xvbn+=cutadapt
( ^zz++++=(
Martin ^np++++=Martin,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
91 ^cd++++=91.
. ^zz++++=EXTRAWORD
Martin ^np++++=Martin,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Cutadapt ^np+++??+=Cutadapt
removes ^vbz++++=removes
adapter ^jjr+atrb+++=adapter
sequences ^nns+nom+++=sequences
from ^in++++=from
high ^jj++++=high-throughput
- ^zz++++=EXTRAWORD
throughput ^nn++++=EXTRAWORD
sequencing ^xvbg+++xvbg+=sequencing
reads ^vbz++++=reads
Embnet ^np+++??+=EMBnet.
Embnet ^np+++??+=EMBnet.
. ^zz++++=EXTRAWORD
j ^zz++++=j.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
17 ^cd++++=17
: ^zz++++=:3
3 ^zz++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
for ^in++++=for
adapter ^jjr+atrb+++=adapter
trimming ^nn++++=trimming,
, ^zz++++=EXTRAWORD
Bowtie2 ^np+++??+=Bowtie2
B ^zz++++=B.
. ^zz++++=EXTRAWORD
Salzberg ^np+++??+=Salzberg,
, ^zz++++=EXTRAWORD
S.l ^np+++??+=S.L.
. ^zz++++=EXTRAWORD
Fast ^jj++++=Fast
gapped ^jj+++xvbn+=gapped-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
alignment ^nn+nom+++=alignment
with ^in++++=with
Bowtie ^np+++??+=Bowtie
2 ^zz++++=2
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Methods ^nns++++=Methods.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
9 ^zz++++=9
: ^zz++++=:357-359
357 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
359 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(24558)
24558 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
# ^zz++++=#2898)
2898 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
mapping ^nn++++=mapping,
, ^zz++++=EXTRAWORD
Samtools ^np+++??+=SAMtools
( ^zz++++=(
Li ^np++++=Li
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
82 ^cd++++=82.
. ^zz++++=EXTRAWORD
Li ^np+++??+=Li,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Handsaker ^np+nom++??+=Handsaker,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
Wysoker ^np+++??+=Wysoker,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
. ^zz++++=...,
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1000 ^cd++++=1000
Genome ^np+++??+=Genome
Project ^nn++++=Project
Data ^nns++++=Data
Processing ^vwbg+++xvbg+=Processing
Subgroup ^np+++??+=Subgroup
The ^ati++++=The
Sequence ^nn+nom+++=Sequence
Alignment ^nn+nom+++=Alignment/Map
format ^nn++++=format
and ^cc++++=and
Samtools ^np+++??+=SAMtools
Bioinformatics ^np+++??+=Bioinformatics.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
25 ^cd++++=25
: ^zz++++=:2078-2079
2078 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
2079 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(30053)
30053 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
for ^in++++=for
filtering ^xvbg+++xvbg+=filtering,
, ^zz++++=EXTRAWORD
sorting ^nvbg+++xvbg+=sorting
and ^cc++++=and
removing ^nvbg+++xvbg+=removing
duplicates ^nns+nom+++=duplicates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deeptools ^nns+++??+=deepTools
( ^zz++++=(
Ram ^np++++=Ram
rez ^nn+++??+=rez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
112 ^cd++++=112.
. ^zz++++=EXTRAWORD
Ram ^vb++++=Ram
rez ^nn+++??+=rez,
, ^zz++++=EXTRAWORD
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Ryan ^np+++??+=Ryan,
, ^zz++++=EXTRAWORD
D.p ^np+++??+=D.P.
. ^zz++++=EXTRAWORD
Gr ^np+++??+=Gr
ning ^vwbg+++xvbg+=ning,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
deeptools2 ^nn+++??+=deepTools2:
: ^zz++++=EXTRAWORD
a ^at++++=a
next ^ap++++=next
generation ^nn+nom+++=generation
web ^nn++++=web
server ^nn++++=server
for ^in++++=for
deep ^jj++++=deep-sequencing
- ^zz++++=EXTRAWORD
sequencing ^jj+atrb++xvbg+=EXTRAWORD
data ^nns++++=data
analysis ^nn++++=analysis
Nucleic ^np+++??+=Nucleic
Acids ^np+++??+=Acids
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
44 ^cd++++=44
: ^zz++++=:W160-W165
w160 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
w165 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Pubmed ^np++++=PubMed
Google ^np++++=Google
Scholar ^nn++++=Scholar
	 ^zz++++=)
For ^in++++=for
Generating ^nn++++=generating
Coverage ^nn+nom+++=coverage
Tracks ^nns++++=tracks.
 ^zz++++=EXTRAWORD
