One ^cd1++++=One
contrast ^nn++++=contrast
involves ^vbz++++=involves
differences ^nns++++=differences
in ^in++++=in
concealment ^nn++++=concealment.
. ^zz++++=EXTRAWORD
Consider ^vb+vprv+++=Consider
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
The ^ati++++=The
Illumination ^nn++++=Illumination
in ^in++++=in
comparison ^nn++++=comparison
with ^in++++=with
another ^dt++++=another
proxy ^nn+++??+=proxy
for ^in++++=for
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scar ^nn++++=scar.
. ^zz++++=EXTRAWORD
Medical ^jj+atrb+++=Medical
anthropologists ^nns++++=anthropologists
have ^vb+hv+aux++=have
often ^rb++splt++=often
pointed ^vprf+++xvbnx+=pointed
to ^in++++=to
human ^jj+atrb+++=human
scars ^nns++++=scars
as ^in++++=as
evidence ^nn++++=evidence
of ^in++++=of
the ^ati++++=the
nefarious ^jj+atrb+++=nefarious
forces ^nns++++=forces
of ^in++++=of
structural ^jj+atrb+++=structural
violence ^nn++++=violence.
. ^zz++++=EXTRAWORD
Scholars ^nns++++=Scholars
of ^in++++=of
nonhuman ^nn+++??+=nonhuman
animals ^nns++++=animals
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
scars ^nns++++=scars
can ^md+pos+++=can
illuminate ^vb++++=illuminate
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
biopolitics ^nns+++??+=biopolitics
and ^cc++++=and
its ^pp$+it+++=its
injurious ^jj+atrb+++=injurious
forces ^nns++++=forces
( ^zz++++=(
Blanchette ^np++++=Blanchette
2020 ^cd++++=2020
, ^zz++++=,
Parre ^np+++??+=Parre
as ^ql++++=as
2018 ^cd++++=2018
, ^zz++++=,
Rosenberg ^np++++=Rosenberg
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
different ^jj++++=different
from ^in++++=from
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
scars ^nns++++=scars
can ^md+pos+++=can
be ^vb+be+aux++=be
hidden ^vpsv++agls+xvbnx+=hidden
( ^zz++++=(sometimes).
sometimes ^rb++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
The ^ati++++=The
Illumination ^nn++++=Illumination,
 ^zz++++=EXTRAWORD
The ^ati++++=the
Light ^jj++++=light
Cannot ^md+pos+not++=cannot
Be ^vb+be+vrb++=be
Concealed ^jj+pred+++=concealed.
 ^zz++++=EXTRAWORD
