Supporting ^vbg+++xvbg+=Supporting
Information ^nn++++=Information
Table ^nn++++=Table
1s ^cd++++=1S
shows ^nns++++=shows
descriptive ^jj+atrb+++=descriptive
statistics ^nn++++=statistics
for ^in++++=for
the ^ati++++=the
sample ^nn++++=sample.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
girls ^nns++++=girls
were ^vbd+bed+vrb++=were
post ^nn++++=post
adrenarcheal ^nn+++??+=adrenarcheal
( ^zz++++=(mean
mean ^jj+atrb+++=EXTRAWORD
age ^nn++++=age
= ^zz++++==
9.0 ^cd++++=9.0
0.86 ^nn+++??+=0.86),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
19 ^cd++++=19
were ^vbd+bed+vrb++=were
pre ^nn+++??+=pre-adrenarcheal
- ^zz++++=EXTRAWORD
adrenarcheal ^nn+++??+=EXTRAWORD
( ^zz++++=(mean
mean ^jj+atrb+++=EXTRAWORD
age ^nn++++=age
= ^zz++++==
8.3 ^cd++++=8.3
0.56 ^nn+++??+=0.56).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Fifteen ^cd++++=Fifteen
( ^zz++++=(60%)
60 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
25 ^cd++++=25
saliva ^nn++++=saliva
samples ^nns++++=samples
were ^vbd+bed+vrb++=were
< ^zz++++=<188.9
188.9 ^cd++++=EXTRAWORD
pg ^nn+++??+=pg/mL,
the ^ati++++=the
functional ^jj+atrb+++=functional
sensitivity ^nn++++=sensitivity
of ^in++++=of
the ^ati++++=the
Dhea ^np+++??+=DHEA-S
- ^zz++++=EXTRAWORD
s ^zz++++=EXTRAWORD
assay ^nn++++=assay.
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
from ^in++++=from
the ^ati++++=the
Pds ^np+++??+=PDS
confirmed ^vwbn+vpub++xvbn+=confirmed
few ^ap++++=few
girls ^nns++++=girls
were ^vbd+bed+vrb++=were
post ^nn++++=post-adrenarcheal
- ^zz++++=EXTRAWORD
adrenarcheal ^nn++++=EXTRAWORD
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
2s ^cd++++=2S
) ^zz++++=).
. ^zz++++=EXTRAWORD
