Using ^vbg+++xvbg+=Using
observational ^jj+atrb+++=observational
analyses ^nns++++=analyses,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
first ^od++++=first
compared ^vbd+++xvbn+=compared
the ^ati++++=the
growth ^nn++++=growth
and ^cc++++=and
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status
of ^in++++=of
boys ^nns++++=boys
versus ^in++++=versus
girls ^nns++++=girls
from ^in++++=from
birth ^nn++++=birth
to ^to++++=to
20 ^cd++++=20
months ^nns++++=months,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
absolute ^jj+atrb+++=absolute
terms ^nns++++=terms
and ^cc++++=and
by ^in++++=by
expressing ^xvbg+++xvbg+=expressing
the ^ati++++=the
data ^nns++++=data
as ^in++++=as
z ^zz++++=z
- ^zz++++=-scores
scores ^nns++++=EXTRAWORD
relative ^jj++++=relative
to ^to++++=to
Who ^whp+who+++=WHO
2006 ^cd++++=2006
reference ^nn++++=reference
data ^nns++++=data.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
then ^rn+tm+++=then
assessed ^vbd+++xvbn+=assessed
the ^ati++++=the
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status
and ^cc++++=and
dietary ^jj+atrb+++=dietary
intake ^nn++++=intake
of ^in++++=of
mothers ^nns++++=mothers
of ^in++++=of
sons ^nns++++=sons
versus ^in++++=versus
daughters ^nns++++=daughters
through ^in++++=through
pregnancy ^nn++++=pregnancy
and ^cc++++=and
early ^jj+atrb+++=early
infancy ^nn++++=infancy.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
tested ^vbd+++xvbn+=tested
whether ^cs+who+++=whether
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
randomized ^nn++++=randomized
trial ^nn++++=trial
varied ^jj++++=varied
by ^in++++=by
offspring ^nn++++=offspring
sex ^nn++++=sex.
. ^zz++++=EXTRAWORD
