Research ^nn++++=Research
on ^in++++=on
migrants ^nns+++??+=migrants,
, ^zz++++=EXTRAWORD
border ^nn++++=border
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
detainees ^nns+++??+=detainees
reveals ^vbz+vprv+++=reveals
injuries ^nns++++=injuries
among ^in++++=among
children ^nns++++=children
and ^cc++++=and
women ^nns++++=women
as ^in++++=as
among ^in++++=among
the ^ati++++=the
starkest ^nn+++??+=starkest.
. ^zz++++=EXTRAWORD
Incarceration ^np+++??+=Incarceration
in ^in++++=in
prisons ^nns++++=prisons
and ^cc++++=and
jails ^nns+++??+=jails
segregates ^nns+++??+=segregates
by ^in++++=by
gender ^nn++++=gender
and ^cc++++=and
age ^nn++++=age
( ^zz++++=(minors,
minors ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
adults ^nns++++=adults).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Detention ^nn++++=Detention
of ^in++++=of
immigrants ^nns++++=immigrants
may ^md+pos+++=may
house ^vb++++=house
women ^nns++++=women
and ^cc++++=and
children ^nns++++=children
together ^rb+cnj+++=together,
, ^zz++++=EXTRAWORD
underscoring ^nn+++??+=underscoring
their ^pp$+pp3+++=their
victimization ^nn++++=victimization
through ^in++++=through
images ^nns++++=images
of ^in++++=of
children ^nns++++=children
encaged ^nn+++??+=encaged
and ^cc++++=and
families ^nns++++=families
separated ^vbd+++xvbn+=separated.
. ^zz++++=EXTRAWORD
Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
victimization ^nn++++=victimization
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
equal ^jj++++=equal.
. ^zz++++=EXTRAWORD
Undocumented ^np+++??+=Undocumented
youth ^nn++++=youth
typically ^rb++++=typically
are ^vb+ber+aux++=are
distinguished ^vpsv++agls+xvbnx+=distinguished
between ^in++++=between
good ^jj+atrb+++=good
victims ^nns++++=victims
Dreamers ^np+++??+=Dreamers
whose ^whp+rel+obj++=whose
parents ^nns++++=parents
brought ^vbd+++xvbn+=brought
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
honorific ^nn+++??+=honorific
Americans ^nn++++=Americans
by ^in++++=by
virtue ^nn++++=virtue
of ^in++++=of
their ^pp$+pp3+++=their
cultural ^jj+atrb+++=cultural
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
English ^jj++++=English-language
- ^zz++++=EXTRAWORD
language ^nn++++=EXTRAWORD
ability ^nn++++=ability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
valorization ^nn+++??+=valorization
of ^in++++=of
mainstream ^nn++++=mainstream
identity ^nn++++=identity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
transcend ^vb++++=transcend
alleged ^jj+atrb++xvbn+=alleged
racial ^jj+atrb+++=racial
character ^nn++++=character
