Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
urine ^nn++++=urine
specific ^jj+atrb+++=specific
gravity ^nn+nom+++=gravity
( ^zz++++=(Usg)
usg ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
provides ^vbz+vsua+++=provides
the ^ati++++=the
density ^nn+nom+++=density
of ^in++++=of
urine ^nn++++=urine
relative ^nn++++=relative
to ^in++++=to
water ^nn++++=water
with ^in++++=with
a ^at++++=a
value ^nn++++=value
of ^in++++=of
1.000 ^cd++++=1.000
( ^zz++++=(g/ml)
g ^zz++++=EXTRAWORD
equivalent ^jj++++=equivalent
to ^in++++=to
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Usg ^np+++??+=Usg
ranges ^nns++++=ranges
from ^in++++=from
1.000 ^cd++++=1.000
to ^to++++=to
1.040 ^cd++++=1.040
g ^zz++++=g/mL,
with ^in++++=with
values ^nns++++=values
above ^jjb++++=above
1.020 ^cd++++=1.020
g ^zz++++=g/mL
used ^vbd+++xvbn+=used
as ^ql++++=as
a ^at++++=a
well ^rb++++=well-established
- ^zz++++=EXTRAWORD
established ^vbd+vprv++xvbn+=EXTRAWORD
cutoff ^nn+++??+=cutoff
for ^in++++=for
inadequate ^jj+atrb+++=inadequate
hydration ^nn+nom+++=hydration
( ^zz++++=(Armstrong,
armstrong ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Johnson ^np++++=Johnson,
, ^zz++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
Popowski ^np+++??+=Popowski
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001
) ^zz++++=).
. ^zz++++=EXTRAWORD
Values ^nns++++=Values
of ^in++++=of
1.002 ^cd++++=1.002
g ^zz++++=g/mL
and ^cc++++=and
below ^rb++++=below
may ^md+pos+++=may
reflect ^vb+vprv+++=reflect
inability ^nn+nom+++=inability
to ^to+ncmp+++=to
concentrate ^nn+nom+++=concentrate
urine ^nn++++=urine
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
kidney ^vb++++=kidney
problems ^nns++++=problems,
, ^zz++++=EXTRAWORD
excessive ^jj+atrb+++=excessive
water ^nn++++=water
intake ^nn++++=intake,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
diabetes ^nn++++=diabetes
insipidus ^nns+++??+=insipidus
( ^zz++++=(Cook,
cook ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Caplan ^np+++??+=Caplan,
 ^zz++++=EXTRAWORD
Lodico ^np++++=LoDico,
 ^zz++++=EXTRAWORD
 ^zz++++=&
Bush ^nn++++=Bush,
 ^zz++++=EXTRAWORD
000 ^cd++++=2000
	 ^zz++++=).
 ^zz++++=EXTRAWORD
