Different ^jj+atrb+++=Different
types ^nns++++=types
of ^in++++=of
immune ^jj+atrb+++=immune
function ^nn++++=function
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
as ^ql++++=as
trading ^jj+++xvbg+=trading
off ^in+pl+++=off
with ^in++++=with
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
The ^ati++++=The
immune ^jj+atrb+++=immune
system ^nn++++=system
has ^vbz+hvz+vrb++=has
two ^cd++++=two
major ^jj+atrb+++=major
components ^nns++++=components,
, ^zz++++=EXTRAWORD
innate ^jj+atrb+++=innate
immunity ^nn++++=immunity
and ^cc++++=and
adaptive ^jj+atrb++??+=adaptive
immunity ^nn++++=immunity.
. ^zz++++=EXTRAWORD
Innate ^jj+atrb+++=Innate
immunity ^nn++++=immunity
is ^vbz+bez+aux++=is
immunity ^nn++++=immunity
governed ^vwbn+++xvbn+=governed
by ^in++++=by
genetically ^rb++++=genetically
encoded ^jj+atrb++??+=encoded
signals ^nns++++=signals,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
respond ^vb++++=respond
to ^in++++=to
cues ^nns+++??+=cues
of ^in++++=of
infection ^nn++++=infection
or ^cc++++=or
injury ^nn++++=injury
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
remained ^vprf+++xvbnx+=remained
constant ^jj++++=constant
throughout ^rb++++=throughout
our ^pp$+pp1+++=our
evolutionary ^jj+atrb+++=evolutionary
history ^nn++++=history.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
adaptive ^nn+++??+=adaptive
immunity ^nn++++=immunity
learns ^vbz+vprv+++=learns
to ^to+vcmp+++=to
respond ^vbi++++=respond
to ^to++++=to
newly ^rb++splt++=newly
encountered ^vbi++++=encountered
cues ^nns+++??+=cues
of ^in++++=of
infection ^nn++++=infection
and ^cc++++=and
retains ^vbz++++=retains
a ^at++++=a
memory ^nn++++=memory
of ^in++++=of
those ^dt+pdem+++=those
cues ^vbz+++??+=cues
encountered ^vbd+++xvbn+=encountered
during ^in++++=during
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
lifetime ^nn++++=lifetime.
. ^zz++++=EXTRAWORD
Innate ^jj+atrb+++=Innate
and ^cc+phrs+++=and
adaptive ^jj+atrb++??+=adaptive
immunity ^nn++++=immunity
work ^nn++++=work
in ^in++++=in
concert ^nn++++=concert;
; ^zz++++=EXTRAWORD
e.g ^rb++++=e.g.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
innate ^jj+atrb+++=innate
responses ^nns++++=responses
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
initiate ^vbi++++=initiate
adaptive ^nn+++??+=adaptive
responses ^nns++++=responses.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
organisms ^nns++++=organisms
still ^rb++++=still
differ ^vb++++=differ
in ^in++++=in
relative ^jj+atrb+++=relative
allocations ^nns++++=allocations
to ^in++++=to
innate ^jj++++=innate
and ^cc++++=and
adaptive ^nn+++??+=adaptive
responses ^nns++++=responses;
; ^zz++++=EXTRAWORD
innate ^jj+atrb+++=innate
responses ^nns++++=responses
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
seen ^vpsv++agls+xvbnx+=seen
as ^ql++++=as
acting ^jj+++xvbg+=acting
faster ^rbr++++=faster
but ^cc++++=but
causing ^vbg+++xvbg+=causing
more ^rbr++++=more
somatic ^nn+++??+=somatic
collateral ^nn+++??+=collateral
damage ^nn++++=damage,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
adaptive ^jj+atrb++??+=adaptive
responses ^nns++++=responses
act ^nn++++=act
slower ^jjr++++=slower
and ^cc++++=and
require ^vb+vsua+++=require
more ^ql++++=more
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
investment ^nn++++=investment
but ^cc++++=but
cause ^nn++++=cause
less ^rbr++++=less
collateral ^jj+atrb++??+=collateral
damage ^nn++++=damage
( ^zz++++=(
Martin ^np++++=Martin
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008
, ^zz++++=,
mcdade ^np++++=McDade
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
