Aging ^np+++??+=Aging
is ^vbz+bez+vrb++=is
a ^at++++=a
multistep ^nn+++??+=multistep
biological ^jj+atrb+++=biological
process ^nn++++=process,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
leads ^vbz++++=leads
to ^in++++=to
a ^at++++=a
decreased ^jj+atrb++xvbn+=decreased
ability ^nn++++=ability
to ^to+ncmp+++=to
respond ^vbi++++=respond
to ^in++++=to
stress ^nn++++=stress,
, ^zz++++=EXTRAWORD
an ^at++++=an
increased ^jj+atrb++xvbn+=increased
homeostatic ^nn+++??+=homeostatic
imbalance ^nn++++=imbalance
and ^cc++++=and
disease ^nn++++=disease
susceptibility ^nn++++=susceptibility
eventually ^rb+tm+++=eventually
causing ^jj+atrb++xvbg+=causing
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Prolongation ^np+++??+=Prolongation
of ^in++++=of
life ^nn++++=life
expectancy ^nn++++=expectancy
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
prolongation ^nn++++=prolongation
of ^in++++=of
the ^ati++++=the
aging ^nn++++=aging
period ^nn++++=period
( ^zz++++=(Beregi,
beregi ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1984 ^cd+date+++=1984
) ^zz++++=).
. ^zz++++=EXTRAWORD
