Research ^nn++++=Research
has ^vbz+hvz+aux++=has
demonstrated ^vprf+++xvbnx+=demonstrated
notable ^jj+atrb+++=notable
changes ^nns++++=changes
in ^in++++=in
individual ^jj+atrb+++=individual
energy ^nn++++=energy
status ^nn++++=status
and ^cc++++=and
expenditure ^nn++++=expenditure
when ^wrb+who+++=when
individuals ^nns++++=individuals
are ^vb+ber+vrb++=are
on ^in++++=on
expeditions ^nns++++=expeditions.
. ^zz++++=EXTRAWORD
Intensive ^jj+atrb+++=Intensive
backcountry ^nn+++??+=backcountry
expeditions ^nns++++=expeditions
are ^vb+ber+aux++=are
marked ^vpsv++by+xvbnx+=marked
by ^in++++=by
increases ^nns++++=increases
in ^in++++=in
individuals ^nns++++=individuals'
' ^zz++++=EXTRAWORD
energy ^nn++++=energy
expenditure ^nn++++=expenditure
reaching ^vwbg+++xvbg+=reaching
up ^rp++++=up
to ^to++++=to
well ^rb++++=well
over ^in++++=over
4000 ^cd++++=4000
kcal ^nn+++??+=kcal
day ^nn++++=day
1 ^zz++++=1
( ^zz++++=(Hattersley
hattersley ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
; ^zz++++=;
Ocobock ^np+++??+=Ocobock,
, ^zz++++=EXTRAWORD
2016b ^cd++++=2016b
; ^zz++++=;
Pulfrey ^np+++??+=Pulfrey
& ^zz++++=&
Jones ^np++++=Jones,
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996
) ^zz++++=).
. ^zz++++=EXTRAWORD
Compared ^j+++xvbn+=Compared
to ^to++++=to
adapted ^vbi++++=adapted
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
sojourners ^nns+++??+=sojourners
to ^in++++=to
these ^dt+dem+++=these
challenging ^jj+++xvbg+=challenging
and ^cc++++=and
physically ^rb++++=physically
intensive ^jj+atrb+++=intensive
settings ^nns++++=settings
must ^md+nec+++=must
acclimate ^vb+++??+=acclimate
to ^in++++=to
the ^ati++++=the
dual ^jj+atrb+++=dual
burdens ^nns++++=burdens
of ^in++++=of
everyday ^jjb+atrb+++=everyday
activity ^nn++++=activity
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
novel ^nn++++=novel
and ^cc++++=and
potentially ^rb++++=potentially
harsh ^jj+atrb+++=harsh
environmental ^jj+atrb+++=environmental
stressors ^nns+++??+=stressors
which ^whp+rel+subj++=which
may ^md+pos+++=may
