Body ^nn++++=Body
mass ^nn++++=mass
values ^nns++++=values
were ^vbd+bed+vrb++=were
lowest ^jjt+pred+++=lowest
in ^in++++=in
2006 ^cd++++=2006
( ^zz++++=(74.4
74.4 ^cd++++=EXTRAWORD
kg ^nnu++++=kg),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
increased ^vbd+++xvbnx+=increased
steadily ^rb++++=steadily
to ^to++++=to
reach ^vbi++++=reach
79.7 ^cd++++=79.7
kg ^nnu++++=kg
in ^in++++=in
2018 ^cd++++=2018.
. ^zz++++=EXTRAWORD
The ^ati++++=The
difference ^nn+nom+++=difference
between ^in++++=between
the ^ati++++=the
minimum ^nn++++=minimum
and ^cc++++=and
maximum ^jj+atrb+++=maximum
body ^nn++++=body
mass ^nn++++=mass
values ^nns++++=values
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined
at ^rb++++=at
5.4 ^cd++++=5.4
kg ^nnu++++=kg.
. ^zz++++=EXTRAWORD
On ^in++++=On
average ^jj++++=average,
, ^zz++++=EXTRAWORD
body ^nn++++=body
mass ^nn++++=mass
decreased ^vwbn+++xvbn+=decreased
by ^in++++=by
0.5 ^nn+++??+=0.5
kg ^nnu++++=kg/year
( ^zz++++=(0.5%)
0.5 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
between ^in++++=between
2000 ^cd++++=2000
and ^cc++++=and
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
increased ^vpsv++by+xvbn+=increased
by ^in++++=by
0.5 ^nn+++??+=0.5
kg ^nnu++++=kg/year
( ^zz++++=(0.6%)
0.6 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
between ^in++++=between
2006 ^cd++++=2006
and ^cc++++=and
2018 ^cd++++=2018.
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
trends ^nns++++=trends
were ^vbd+bed+aux++=were
noted ^vpsv++agls+xvbnx+=noted
in ^in++++=in
Bmi ^np+++??+=BMI
values ^nns++++=values
which ^whp+rel+subj++=which
decreased ^vpsv++by+xvbn+=decreased
by ^in++++=by
0.2 ^nn+++??+=0.2
kg ^nnu++++=kg/m
2 ^zz++++=2
( ^zz++++=(0.7%)
0.7 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
between ^in++++=between
2000 ^cd++++=2000
and ^cc++++=and
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increased ^vpsv++by+xvbn+=increased
by ^in++++=by
0.1 ^nn+++??+=0.1
kg ^nnu++++=kg/m
2 ^zz++++=2
( ^zz++++=(0.5%)
0.5 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
between ^in++++=between
2006 ^cd++++=2006
and ^cc++++=and
2018 ^cd++++=2018
on ^in++++=on
average ^nn++++=average.
. ^zz++++=EXTRAWORD
Bmi ^np+++??+=BMI
values ^nns++++=values
were ^vbd+bed+vrb++=were
within ^in++++=within
the ^ati++++=the
norm ^nn++++=norm
in ^in++++=in
all ^abn++++=all
years ^nns++++=years
of ^in++++=of
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
the ^ati++++=the
minimum ^nn++++=minimum
and ^cc++++=and
maximum ^jj+atrb+++=maximum
values ^nns++++=values
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined
at ^rb++++=at
1.5 ^cd++++=1.5
kg ^nnu++++=kg/m
2 ^zz++++=2
. ^zz++++=.
Changes ^nns++++=Changes
in ^in++++=in
body ^nn++++=body
height ^nn++++=height
followed ^vbd+vprv++xvbn+=followed
a ^at++++=a
different ^jj+atrb+++=different
trend ^nn++++=trend
than ^in++++=than
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
anthropometric ^jj+atrb+++=anthropometric
characteristics ^nns++++=characteristics.
. ^zz++++=EXTRAWORD
Beginning ^vbg+++xvbg+=Beginning
from ^in++++=from
2000 ^cd++++=2000,
, ^zz++++=EXTRAWORD
body ^nn++++=body
height ^nn++++=height
increased ^vbd+++xvbn+=increased
steadily ^rb++++=steadily
by ^in++++=by
0.1 ^nn+++??+=0.1
cm ^nnu++++=cm/year
( ^zz++++=(0.1%)
0.1 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
the ^ati++++=the
minimum ^nn++++=minimum
and ^cc++++=and
maximum ^jj+atrb+++=maximum
values ^nns++++=values
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbn+=determined
at ^rb++++=at
1.7 ^cd++++=1.7
cm ^nnu++++=cm
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1
) ^zz++++=).
. ^zz++++=EXTRAWORD
