Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
explore ^vb++++=explore
how ^wrb+who+++=how
scientific ^jj+atrb+++=scientific
conventions ^nns++++=conventions
in ^in++++=in
fields ^nns++++=fields
like ^in++++=like
environmental ^jj+atrb+++=environmental
epigenetics ^nns+++??+=epigenetics
and ^cc++++=and
Dohad ^np+++??+=DOHaD
tend ^vb++++=tend
to ^to+vcmp+++=to
emphasize ^vbi++++=emphasize
themes ^nns++++=themes
of ^in++++=of
damage ^nn++++=damage
and ^cc++++=and
permanence ^nn++++=permanence,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
statistical ^jj+atrb+++=statistical
conventions ^nns++++=conventions
that ^tht+rel+subj++=that
encourage ^vb++++=encourage
binary ^jj+atrb+++=binary
interpretations ^nns++++=interpretations
of ^in++++=of
research ^nn++++=research
findings ^nns++++=findings
in ^in++++=in
which ^whp+rel+pied++=which
effects ^nns++++=effects
are ^vb+ber+aux++=are
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
being ^jj+++xvbg+=being
either ^dtx++++=either
present ^nn++++=present
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
practices ^nns++++=practices
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
wedded ^jj+++xvbn+=wedded
with ^in++++=with
assumptions ^nns++++=assumptions
of ^in++++=of
environmental ^jj+atrb+++=environmental
determinism ^nn+++??+=determinism
in ^in++++=in
racially ^nn+++??+=racially-stratified
- ^zz++++=EXTRAWORD
stratified ^jj+atrb+++=EXTRAWORD
social ^jj+atrb+++=social
societies ^nns++++=societies,
, ^zz++++=EXTRAWORD
foster ^jjb+atrb+++=foster
new ^jj+atrb+++=new
expressions ^nns++++=expressions
of ^in++++=of
typological ^nn+++??+=typological
thinking ^vwbg+++xvbg+=thinking.
. ^zz++++=EXTRAWORD
As ^in++++=As
emphasized ^nn++++=emphasized
by ^in++++=by
earlier ^jjr+atrb+++=earlier
generations ^nns++++=generations
of ^in++++=of
geneticists ^nns+++??+=geneticists
and ^cc++++=and
evolutionary ^jj+atrb+++=evolutionary
biologists ^nns++++=biologists
( ^zz++++=(Lewontin,
lewontin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1983 ^cd+date+++=1983
; ^zz++++=;
Medawar ^np+++??+=Medawar,
, ^zz++++=EXTRAWORD
1953 ^cd+date+++=1953
) ^zz++++=),
, ^zz++++=EXTRAWORD
a ^at++++=a
model ^nn++++=model
of ^in++++=of
phenotypic ^nn+++??+=phenotypic
change ^nn++++=change
based ^vwbn+++xvbn+=based
on ^in++++=on
direct ^jj+atrb+++=direct
environmental ^jj+atrb+++=environmental
effects ^nns++++=effects
not ^xnot++not++=not
unlike ^in++++=unlike
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
today ^nr+tm+++=today
in ^in++++=in
Dohad ^np+++??+=DOHaD
and ^cc++++=and
environmental ^jj+atrb+++=environmental
epigenetics ^nns+++??+=epigenetics
can ^md+pos+++=can
lead ^vb++++=lead
to ^in++++=to
the ^ati++++=the
assumption ^nn++++=assumption
that ^tht+ncmp+++=that
all ^abn++++=all
individuals ^nns++++=individuals
in ^in++++=in
a ^at++++=a
given ^jj+atrb++xvbn+=given
environment ^nn++++=environment
acquire ^vb++++=acquire
the ^ati++++=the
same ^ap++++=same
structures ^nns++++=structures
and ^cc++++=and
adaptations ^nns++++=adaptations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
depending ^vbg+++xvbg+=depending
on ^in++++=on
understandings ^nns++++=understandings
of ^in++++=of
inheritance ^nn++++=inheritance
pathways ^nns+++??+=pathways,
, ^zz++++=EXTRAWORD
possibly ^rb++++=possibly
even ^rb++++=even
pass ^vb++++=pass
these ^dt+dem+++=these
on ^in++++=on
to ^to++++=to
succeeding ^vbg+++xvbg+=succeeding
generations ^nns++++=generations.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
these ^dt+dem+++=these
authors ^nns++++=authors
were ^vbd+bed+aux++=were
primarily ^rb+down+splt++=primarily
concerned ^vpsv++agls+xvbnx+=concerned
with ^in++++=with
the ^ati++++=the
impediments ^nns+++??+=impediments
that ^tht+rel+++=that
such ^abl++++=such
a ^at++++=a
process ^nn++++=process
would ^md+prd+++=would
represent ^vb++++=represent
for ^in++++=for
genetic ^jj+atrb+++=genetic
evolution ^nn++++=evolution
via ^in++++=via
natural ^jj+atrb+++=natural
selection ^nn++++=selection,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
applied ^jj+++xvbn+=applied
to ^in++++=to
humans ^nns++++=humans
this ^dt+dem+++=this
line ^nn++++=line
of ^in++++=of
thought ^nn+++xvbn+=thought
