Using ^vbg+++xvbg+=Using
cryo ^nn+++??+=cryo-electron
- ^zz++++=EXTRAWORD
electron ^nn++++=EXTRAWORD
microscopy ^nn++++=microscopy
( ^zz++++=(cryo-EM),
cryo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
em ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recently ^rb+tm+++=recently
determined ^jj+++xvbn+=determined
the ^ati++++=the
structure ^nn++++=structure
of ^in++++=of
the ^ati++++=the
amino ^nn+++??+=amino-terminal
- ^zz++++=EXTRAWORD
terminal ^jj+atrb+++=EXTRAWORD
region ^nn++++=region
of ^in++++=of
the ^ati++++=the
intestinal ^nn+++??+=intestinal
mucin ^nn+++??+=mucin,
, ^zz++++=EXTRAWORD
Muc2 ^np+++??+=MUC2,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
a ^at++++=a
filament ^nn++++=filament
proposed ^vbd+++xvbn+=proposed
to ^to++++=to
represent ^vbi++++=represent
a ^at++++=a
bioassembly ^nn+++??+=bioassembly
intermediate ^jj++++=intermediate
( ^zz++++=(
Javitt ^np++++=Javitt
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
18 ^cd++++=18.
. ^zz++++=EXTRAWORD
Javitt ^np+++??+=Javitt,
, ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Khmelnitsky ^np+++??+=Khmelnitsky,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
Albert ^np++++=Albert,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Assembly ^nn++++=Assembly
Mechanism ^nn++++=Mechanism
of ^in++++=of
Mucin ^np+++??+=Mucin
and ^cc++++=and
von ^&fw++++=von
Willebrand ^np+++??+=Willebrand
Factor ^nn++++=Factor
Polymers ^np+++??+=Polymers
Cell ^nn++++=Cell.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
183 ^cd++++=183
: ^zz++++=:717-729.e16
717 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
729.e16 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(79)
79 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
noticed ^vbd+vprv++xvbn+=noticed
in ^in++++=in
the ^ati++++=the
first ^rb++++=first
von ^&fw++++=von
Willebrand ^np+++??+=Willebrand
factor ^nn++++=factor
type ^nn++++=type
D ^zz++++=D
( ^zz++++=(D1)
d1 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
region ^nn++++=region
of ^in++++=of
this ^dt+dem+++=this
structure ^nn++++=structure
( ^zz++++=(
Figures ^np++++=Figures
1 ^zz++++=1
A ^at++++=A
and ^cc++++=and
1b ^cd++++=1B)
) ^zz++++=EXTRAWORD
an ^at++++=an
intriguing ^jj+atrb+++=intriguing
congregation ^nn++++=congregation
of ^in++++=of
histidine ^nn+++??+=histidine
and ^cc++++=and
