Because ^cs+cos+++=Because
of ^in"++++=of
the ^ati++++=the
relevance ^nn+nom+++=relevance
of ^in++++=of
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
relationships ^nns+nom+++=relationships
throughout ^in++++=throughout
human ^jj+atrb+++=human
evolutionary ^jj+atrb+++=evolutionary
history ^nn++++=history,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=would
expect ^vb+vprv+++=expect
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
an ^at++++=an
individual ^nn+nom+++=individual
receives ^vbz++++=receives
cues ^nns+++??+=cues
that ^tht+rel+++=that
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
relationships ^nns+nom+++=relationships
may ^md+pos+++=may
provide ^vb+vsua+++=provide
net ^jjb+atrb+++=net
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
evolved ^vbd+++xvbn+=evolved
psychology ^nn++++=psychology
will ^md+prd+++=will
respond ^vb++++=respond
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
interest ^nn++++=interest
in ^in++++=in
forming ^xvbg+++xvbg+=forming
these ^dt+dem+++=these
relationships ^nns+nom+++=relationships
( ^zz++++=(Pisor
pisor ^nn++++=EXTRAWORD
& ^zz++++=&
Gurven ^np+++??+=Gurven,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Pisor ^np+++??+=Pisor
& ^zz++++=&
Surbeck ^np+++??+=Surbeck,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Evidence ^nn+nom+++=Evidence
from ^in++++=from
contemporary ^jj+atrb+++=contemporary
peoples ^nns++++=peoples
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
indeed ^qlp++++=indeed
sensitive ^jj++++=sensitive
to ^in++++=to
these ^dt+dem+++=these
payoffs ^nns+++??+=payoffs,
, ^zz++++=EXTRAWORD
as ^ql++++=as
individuals ^nns+nom+++=individuals
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
build ^vbi++++=build
social ^jj+atrb+++=social
ties ^nns++++=ties
bridging ^vwbg+++xvbg+=bridging
communities ^nns+nom+++=communities
when ^wrb+who+++=when
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
benefits ^nns++++=benefits
to ^to++++=to
doing ^vbi++++=doing
so ^ql++++=so
( ^zz++++=(Granovetter,
granovetter ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1973 ^cd+date+++=1973
; ^zz++++=;
Nannestad ^np+++??+=Nannestad,
, ^zz++++=EXTRAWORD
Svendsen ^np+++??+=Svendsen,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Svendsen ^np+++??+=Svendsen,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
; ^zz++++=;
Woolcock ^np+++??+=Woolcock
& ^zz++++=&
Narayan ^np+++??+=Narayan,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
) ^zz++++=)
and ^cc++++=and
negative ^jj+atrb+++=negative
past ^jjb+atrb+++=past
experiences ^nns+nom+++=experiences
with ^in++++=with
strangers ^nns+nom+++=strangers
can ^md+pos+++=can
reduce ^vb++++=reduce
individuals ^nns+nom+++=individuals'
' ^zz++++=EXTRAWORD
willingness ^nns+nom+++=willingness
to ^to+ncmp+++=to
trust ^vb++++=trust
( ^zz++++=(Yamagishi,
yamagishi ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=)
or ^cc++++=or
be ^vb+be+vrb++=be
generous ^jj+pred+++=generous
toward ^in++++=toward
strangers ^nns+nom+++=strangers
( ^zz++++=(Pisor
pisor ^nn++++=EXTRAWORD
& ^zz++++=&
Gurven ^np+++??+=Gurven,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Cultural ^jj+atrb+++=Cultural
institutions ^nns+nom+++=institutions
can ^md+pos+++=can
further ^jjb++++=further
enhance ^nn+nom+++=enhance
the ^ati++++=the
net ^jjb+atrb+++=net
benefits ^nns++++=benefits
of ^in++++=of
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
relationships ^nns+nom+++=relationships
( ^zz++++=(Pisor
pisor ^nn++++=EXTRAWORD
& ^zz++++=&
Surbeck ^np+++??+=Surbeck,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=);
; ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
seasonal ^jj+atrb+++=seasonal
meetings ^nns++++=meetings
among ^in++++=among
mobile ^jj+atrb+++=mobile
foraging ^jj+atrb++xvbg+=foraging
peoples ^nns++++=peoples
can ^md+pos+++=can
reduce ^vb++++=reduce
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
visiting ^xvbg+++xvbg+=visiting
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
social ^jj+atrb+++=social
partners ^nns+nom+++=partners
( ^zz++++=(Kelly,
kelly ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=),
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
godparent ^jj+atrb+++=godparent
relationships ^nns+nom+++=relationships
can ^md+pos+++=can
increase ^vb++++=increase
the ^ati++++=the
intensity ^nn+nom+++=intensity
of ^in++++=of
cooperation ^nn+nom+++=cooperation
between ^in++++=between
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
partners ^nns+nom+++=partners
( ^zz++++=(Mintz
mintz ^nn++++=EXTRAWORD
& ^zz++++=&
wolf ^nn++++=Wolf,
, ^zz++++=EXTRAWORD
1950 ^cd+date+++=1950
) ^zz++++=).
. ^zz++++=EXTRAWORD
