Since ^cs+sub+++=Since
water ^nn++++=water
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
collected ^vpsv++agls+xvbnx+=collected,
, ^zz++++=EXTRAWORD
stored ^xvbn+++xvbn+=stored,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
used ^vpsv++agls+xvbn+=used
within ^in++++=within
households ^nns++++=households,
, ^zz++++=EXTRAWORD
the ^ati++++=the
household ^nn++++=household
is ^vbz+bez+vrb++=is
an ^at++++=an
important ^jj+atrb+++=important
unit ^nn++++=unit
of ^in++++=of
analysis ^nn++++=analysis
for ^in++++=for
water ^nn++++=water-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
water ^nn++++=water
security ^nn+nom+++=security
exploded ^vbd+++xvbn+=exploded
in ^in++++=in
recent ^jj+atrb+++=recent
years ^nns++++=years
( ^zz++++=(Bakker,
bakker ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
definition ^nn+nom+++=definition
of ^in++++=of
household ^nn++++=household
water ^nn++++=water
insecurity ^nn+nom+++=insecurity
evolved ^vbd+++xvbn+=evolved
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
field ^nn++++=field
defines ^vbz++++=defines
household ^nn++++=household
water ^nn++++=water
insecurity ^nn+nom+++=insecurity
experiences ^nns+nom+++=experiences
as ^ql++++=as
broadly ^rb+down+++=broadly
encompassing ^jj+atrb++xvbg+=encompassing
people ^nns++++=people's
's ^$++++=EXTRAWORD
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
engage ^vbi++++=engage
with ^in++++=with
and ^cc++++=and
benefit ^nn++++=benefit
from ^in++++=from
water ^nn++++=water
and ^cc++++=and
the ^ati++++=the
institutions ^nns+nom+++=institutions
that ^tht+rel+subj++=that
manage ^vb++++=manage
water ^nn++++=water
flows ^nns++++=flows,
, ^zz++++=EXTRAWORD
water ^nn++++=water
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
water ^nn++++=water
services ^nns++++=services
( ^zz++++=(Jepson,
jepson ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Budds ^np+++??+=Budds,
, ^zz++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
47 ^cd++++=47).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
emerging ^jj+atrb++xvbg+=emerging
scholarly ^jj+atrb+++=scholarly
literature ^nn++++=literature
provides ^vbz+vsua+++=provides
several ^ap++++=several
key ^jjb+atrb+++=key
parameters ^nns+nom+++=parameters
