Since ^cs+sub+++=Since
we ^pp1a+pp1+++=we
expected ^vbd+vprv++xvbn+=expected
that ^tht+vcmp+++=that
the ^ati++++=the
nutritional ^jj+atrb+++=nutritional
deficit ^nn++++=deficit
in ^in++++=in
boys ^nns++++=boys
compared ^vbd+++xvbn+=compared
to ^in++++=to
girls ^nns++++=girls
would ^md+prd+++=would
be ^vb+be+vrb++=be
larger ^jjr+pred+++=larger
when ^wrb+who+++=when
the ^ati++++=the
mother ^nn++++=mother
is ^vbz+bez+aux++=is
undernourished ^vpsv++agls+xvbnx+=undernourished,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
conducted ^vbd+++xvbn+=conducted
sensitivity ^nn++++=sensitivity
analyses ^nns++++=analyses
by ^in++++=by
maternal ^jj+atrb+++=maternal
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status,
, ^zz++++=EXTRAWORD
for ^in++++=for
anthropometric ^nn+++??+=anthropometric
z ^zz++++=z
- ^zz++++=-scores
scores ^nns++++=EXTRAWORD
( ^zz++++=(LAZ,
laz ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Wlz ^np+++??+=WLZ,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hcaz ^np+++??+=HCAZ)
) ^zz++++=EXTRAWORD
at ^rb++++=at
0 ^zz++++=0
to ^to++++=to
8 ^zz++++=8
days ^nns++++=days.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
limited ^vbd+++xvbn+=limited
these ^dt+dem+++=these
analyses ^nns++++=analyses
to ^in++++=to
the ^ati++++=the
first ^rb++++=first
8 ^zz++++=8
days ^nns++++=days
of ^in++++=of
life ^nn++++=life
since ^cs+sub+++=since
the ^ati++++=the
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status
of ^in++++=of
the ^ati++++=the
newborn ^nn+++??+=newborn
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
entirely ^rb+amp+++=entirely
attributable ^jj++++=attributable
to ^in++++=to
the ^ati++++=the
nutrients ^nns++++=nutrients
gained ^vbd+++xvbn+=gained
in ^in++++=in
utero ^nn+++??+=utero
at ^rb++++=at
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status
at ^in++++=at
older ^jjr+atrb+++=older
ages ^nns++++=ages
is ^vbz+bez+aux++=is
also ^rb++splt++=also
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
other ^ap++++=other
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
fitted ^vbd+++xvbn+=fitted
separate ^vb++++=separate
models ^nns++++=models
for ^in++++=for
children ^nns++++=children
of ^in++++=of
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
all ^abn++++=all
mothers ^nns++++=mothers
and ^cc++++=and
of ^in++++=of
mothers ^nns++++=mothers
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
short ^jj+atrb+++=short
stature ^nn++++=stature
( ^zz++++=(<145
< ^zz++++=EXTRAWORD
145 ^cd++++=EXTRAWORD
cm ^nnu++++=cm),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
145 ^cd++++=145
cm ^nnu++++=cm
height ^nn++++=height,
