Linguistic ^jj+atrb+++=Linguistic
anthropologists ^nns++++=anthropologists
generally ^rb+down+++=generally
prefer ^vb+vprv+++=prefer
to ^to+vcmp+++=to
study ^vb++++=study
language ^nn++++=language
within ^in++++=within
a ^at++++=a
specific ^jj+atrb+++=specific
speech ^nn++++=speech
community ^nn++++=community
( ^zz++++=(or
or ^cc++++=EXTRAWORD
linguistic ^jj+atrb+++=linguistic
community ^nn++++=community
of ^in++++=of
practice ^nn++++=practice),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
focus ^nn++++=focus
is ^vbz+bez+vrb++=is
on ^in++++=on
the ^ati++++=the
speakers ^nns++++=speakers
rather ^rb++++=rather
than ^in++++=than
on ^in++++=on
the ^ati++++=the
linguistic ^jj+atrb+++=linguistic
code ^nn++++=code
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
language ^nn++++=language
itself ^ppl++++=itself
as ^in++++=as
an ^at++++=an
object ^nn++++=object
of ^in++++=of
study ^nn++++=study
still ^rb++++=still
has ^vbz+hvz+vrb++=has
value ^nn++++=value
for ^in++++=for
scholars ^nns++++=scholars
interested ^jj++++=interested
in ^in++++=in
how ^wrb+who+++=how
people ^nns++++=people
use ^nn++++=use
and ^cc++++=and
modify ^vb++++=modify
both ^abx++++=both
written ^jj+atrb++xvbn+=written
and ^cc+phrs+++=and
spoken ^jj+atrb++xvbn+=spoken
language ^nn++++=language.
. ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
research ^nn++++=research
from ^in++++=from
various ^jj+atrb+++=various
disciplines ^nns++++=disciplines
inspires ^vbz++++=inspires
thinking ^nvbg+++xvbg+=thinking
and ^cc++++=and
potential ^jj+atrb+++=potential
research ^nn++++=research
paths ^nns++++=paths
relevant ^jj++++=relevant
to ^in++++=to
the ^ati++++=the
taboo ^jj+atrb+++=taboo
arena ^nn++++=arena
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
life ^nn++++=life.
. ^zz++++=EXTRAWORD
