One ^cd1++++=One
surprising ^xvbg+++xvbg+=surprising
finding ^vbg+++xvbg+=finding
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
neither ^dt++neg++=neither
maternal ^jj+atrb+++=maternal
height ^nn++++=height
nor ^cc++neg++=nor
Bmi ^np+++??+=BMI
during ^in++++=during
pregnancy ^nn++++=pregnancy
increased ^vbd+++xvbn+=increased
substantially ^rb++++=substantially
after ^in++++=after
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
17 ^cd++++=17
years ^nns++++=years,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
modest ^jj+atrb+++=modest
trend ^nn++++=trend
of ^in++++=of
increasing ^xvbg+++xvbg+=increasing
Bmi ^np+++??+=BMI
with ^in++++=with
age ^nn++++=age
throughout ^in++++=throughout
the ^ati++++=the
adult ^jj+atrb+++=adult
age ^nn++++=age
range ^nn++++=range.
. ^zz++++=EXTRAWORD
Mothers ^nns+nom+++=Mothers
aged ^jj++++=aged
< ^zz++++=<16
16 ^cd++++=EXTRAWORD
years ^nns++++=years
were ^vbd+bed+vrb++=were
0.5 ^nn+++??+=0.5
cm ^nnu++++=cm
shorter ^jjr++++=shorter
and ^cc++++=and
0.6 ^nn+++??+=0.6
kg ^nnu++++=kg/m
2 ^zz++++=2
lighter ^jjr++++=lighter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
magnitudes ^nns++++=magnitudes
of ^in++++=of
these ^dt+dem+++=these
effects ^nns++++=effects
were ^vbd+bed+vrb++=were
modest ^jj+pred+++=modest.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
contrasts ^vbz++++=contrasts
notably ^rb++++=notably
with ^in++++=with
analysis ^nn++++=analysis
of ^in++++=of
recent ^jj+atrb+++=recent
Dhs ^np+++??+=DHS
data ^nns++++=data
from ^in++++=from
India ^np++++=India,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
maternal ^jj+atrb+++=maternal
height ^nn++++=height
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
maximum ^jj+atrb+++=maximum
value ^nn++++=value
at ^in++++=at
30 ^cd++++=30
years ^nns++++=years
( ^zz++++=(Wells
wells ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
studies ^nns++++=studies
in ^in++++=in
India ^np++++=India
support ^nn++++=support
the ^ati++++=the
notion ^nn++++=notion
that ^tht+ncmp+++=that
linear ^jj+atrb+++=linear
growth ^nn++++=growth
continues ^vbz++++=continues
well ^jj+pred+++=well
into ^in++++=into
the ^ati++++=the
third ^nn++++=third
decade ^nn++++=decade
( ^zz++++=(Satyanarayana
satyanarayana ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981
; ^zz++++=;
Satyanarayana ^np+++??+=Satyanarayana
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1989 ^cd+date+++=1989
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
clear ^jj++++=clear
why ^wrb+who+++=why
the ^ati++++=the
same ^ap++++=same
pattern ^nn++++=pattern
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
evident ^jj++++=evident
in ^in++++=in
this ^dt+dem+++=this
sample ^nn++++=sample
from ^in++++=from
nepal ^np++++=Nepal.
. ^zz++++=EXTRAWORD
