Sgrnas ^np+++??+=SgRNAs
were ^vbd+bed+aux++=were
designed ^vpsv++agls+xvbnx+=designed
at ^rb++++=at
desired ^vbd+vsua++xvbn+=desired
structural ^jj+atrb+++=structural
variant ^nn+nom+++=variant
breakpoints ^nns+++??+=breakpoints
or ^cc++++=or
knockin ^nn+++??+=knockin
sites ^nns++++=sites
using ^vwbg+++xvbg+=using
the ^ati++++=the
Benchling ^np+nom++??+=Benchling
design ^nn++++=design
tool ^nn++++=tool
( ^zz++++=(
https ^nns+++??+=https://www.benchling.com/
: ^zz++++=EXTRAWORD
) ^zz++++=).
. ^zz++++=EXTRAWORD
Complementary ^jj+atrb+++=Complementary
sgrna ^nn+++??+=sgRNA
oligos ^nns+++??+=oligos
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
annealed ^vpsv++agls+xvbnx+=annealed,
, ^zz++++=EXTRAWORD
phosphorylated ^j+++xvbn+=phosphorylated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cloned ^vpsv++agls+xvbn+=cloned
into ^in++++=into
the ^ati++++=the
Bbsi ^np+++??+=BbsI
site ^nn++++=site
of ^in++++=of
dephosphorylated ^jj+atrb++xvbn+=dephosphorylated
px459 ^nn+++??+=pX459
pspcas9(bb) ^nn+++??+=pSpCas9(BB)-2A-Puro
- ^zz++++=EXTRAWORD
2a ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
puro ^nn+++??+=EXTRAWORD
vector ^nn++++=vector
( ^zz++++=(Addgene;
addgene ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
# ^zz++++=#62988).
62988 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
insertion ^nn+nom+++=insertion
of ^in++++=of
lacz ^nn+++??+=lacZ
sensors ^nns++++=sensors,
, ^zz++++=EXTRAWORD
asymmetric ^jj+atrb+++=asymmetric
homology ^nn+++??+=homology
arms ^nns++++=arms
surrounding ^vwbg+++xvbg+=surrounding
insertion ^nn+nom+++=insertion
sites ^nns++++=sites
were ^vbd+bed+aux++=were
first ^od++++=first
synthesised ^vbd+++xvbn+=synthesised
with ^in++++=with
a ^at++++=a
multiple ^jj+atrb+++=multiple
cloning ^jj+atrb++xvbg+=cloning
site ^nn++++=site
that ^tht+rel+subj++=that
bisected ^vprf+++xvbn+=bisected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
inactivated ^jj+++xvbn+=inactivated,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sgrna ^nn+++??+=sgRNA.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
homology ^nn+++??+=homology
arms ^nns++++=arms
were ^vbd+bed+aux++=were
cloned ^vpsv++agls+xvbnx+=cloned
into ^in++++=into
a ^at++++=a
vector ^nn++++=vector,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lacz ^nn+++??+=lacZ
sensor ^nn++++=sensor
insert ^vb++++=insert
harbouring ^vbg+++xvbg+=harbouring
the ^ati++++=the
- ^zz++++=-globin
globin ^nn+++??+=EXTRAWORD
minimal ^jj+atrb+++=minimal
promoter ^nn+nom+++=promoter
and ^cc++++=and
polya ^jj+atrb++??+=polyA
terminator ^nn++++=terminator
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
inserted ^vpsv++by+xvbnx+=inserted
by ^in++++=by
restriction ^nn+nom+++=restriction
digest ^vb++++=digest
( ^zz++++=(
Symmons ^np++++=Symmons
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
133 ^cd++++=133.
. ^zz++++=EXTRAWORD
Symmons ^np+++??+=Symmons,
, ^zz++++=EXTRAWORD
O ^zz++++=O.
. ^zz++++=EXTRAWORD
