Since ^cs+sub+++=Since
spot ^nn++++=spot
size ^nn++++=size
may ^md+pos+++=may
have ^vb+hv+vrb++=have
a ^at++++=a
more ^rbr++++=more
intuitive ^jj++++=intuitive
meaning ^jj+++xvbg+=meaning
when ^wrb+who+++=when
measured ^vbd+++xvbn+=measured
as ^ql++++=as
a ^at++++=a
diameter ^nn+nom+++=diameter
rather ^rb++++=rather
than ^in++++=than
an ^at++++=an
area ^nn++++=area
or ^cc++++=or
volume ^nn++++=volume,
, ^zz++++=EXTRAWORD
Table ^nn++++=Table
5 ^zz++++=5
presents ^vbz++++=presents
the ^ati++++=the
percentage ^nn+nom+++=percentage
effect ^nn++++=effect
of ^in++++=of
spot ^nn++++=spot
size ^nn++++=size
on ^in++++=on
analyte ^nn+++??+=analyte
values ^nns++++=values
relative ^jj++++=relative
to ^in++++=to
a ^at++++=a
spot ^nn++++=spot
diameter ^nn+nom+++=diameter
of ^in++++=of
1 ^zz++++=1
cm ^nnu++++=cm.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
translation ^nn+nom+++=translation
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
assumption ^nn+nom+++=assumption
of ^in++++=of
a ^at++++=a
perfect ^jj+atrb+++=perfect
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
hence ^rb+cnj+++=hence
area ^nn++++=area
= ^zz++++==
*diameter ^jjr++++=*diameter
squared ^vpsv++agls+xvbn+=squared.
. ^zz++++=EXTRAWORD
