One ^cd1++++=One
important ^jj+atrb+++=important
caveat ^nn++++=caveat
about ^in++++=about
antigen ^nn++++=antigen
stimulation ^nn+nom+++=stimulation
assays ^nns+++??+=assays
is ^vbz+bez+aux++=is
to ^to++++=to
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
the ^ati++++=the
assays ^nns+++??+=assays
measure ^vb++++=measure
the ^ati++++=the
response ^nn++++=response
to ^in++++=to
stimulation ^nn+nom+++=stimulation,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
how ^wrb+who+++=how
effective ^jj++++=effective
that ^cs+sub+++=that
response ^nn++++=response
is ^vbz+bez+vrb++=is
in ^in++++=in
fighting ^xvbg+++xvbg+=fighting
the ^ati++++=the
infection ^nn+nom+++=infection.
. ^zz++++=EXTRAWORD
Cytokines ^np+++??+=Cytokines
are ^vb+ber+vrb++=are
signaling ^nn+nom+++=signaling
molecules ^nns++++=molecules
and ^cc++++=and
measuring ^nvbg+++xvbg+=measuring
them ^pp3o+pp3+++=them
is ^vbz+bez+vrb++=is
equivalent ^jj+pred+++=equivalent
to ^to++++=to
measuring ^vbi++++=measuring
how ^wrb+who+++=how
loud ^jj++++=loud
the ^ati++++=the
immune ^jj+atrb+++=immune
system ^nn++++=system
yells ^nns+++??+=yells
when ^wrb+who+++=when
it ^pp3+it+++=it
feels ^vbz+vprv+++=feels
threatened ^jj+++xvbn+=threatened.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases
strong ^jj+atrb+++=strong
inflammatory ^jj+atrb+++=inflammatory
responses ^nns++++=responses
may ^md+pos+++=may
be ^vb+be+vrb++=be
detrimental ^jj+pred+++=detrimental
or ^cc++++=or
represent ^vb++++=represent
a ^at++++=a
failure ^nn++++=failure
of ^in++++=of
specific ^jj+atrb+++=specific
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
so ^ql++++=so
care ^vb+vprv+++=care
in ^in++++=in
interpretation ^nn+nom+++=interpretation
is ^vbz+bez+aux++=is
needed ^vbd+++xvbn+=needed.
. ^zz++++=EXTRAWORD
