Nextera ^np+++??+=Nextera
indexing ^vwbg+++xvbg+=indexing
primers ^nns+nom+++=primers
( ^zz++++=(single-indexed)
single ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
indexed ^vbd+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
added ^vpsv++agls+xvbnx+=added
during ^in++++=during
library ^nn+nom+++=library
amplification ^nn+nom+++=amplification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
of ^in++++=of
Pcr ^np+++??+=PCR
cycles ^nns++++=cycles
for ^in++++=for
each ^ppls++++=each
library ^npl+nom+++=library
was ^vbd+bedz+aux++=was
estimated ^vpsv++agls+xvbnx+=estimated
using ^vbg+++xvbg+=using
Ct ^np+++??+=Ct
values ^nns++++=values
as ^in++++=as
determined ^nn++++=determined
by ^in++++=by
qpcr ^nn+++??+=qPCR
( ^zz++++=(where
where ^wrb+who+++=EXTRAWORD
number ^nn++++=number
of ^in++++=of
cycles ^nns++++=cycles
= ^zz++++==
rounded ^vbd+++xvbn+=rounded
up ^rp++++=up
Ct ^np+++??+=Ct
value ^nn++++=value
+ ^zz++++=+1).
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^in++++=After
amplification ^nn+nom+++=amplification,
, ^zz++++=EXTRAWORD
Dna ^np+++??+=DNA
was ^vbd+bedz+aux++=was
cleaned ^vpsv++agls+xvbnx+=cleaned
up ^rb+phrv+++=up
with ^in+ppvb+++=with
Ampure ^np+++??+=AmPure
Xp ^np+++??+=XP
beads ^nns++++=beads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
checked ^vbd+++xvbn+=checked
on ^in++++=on
a ^at++++=a
Tapestation ^np+nom++??+=TapeStation
D5000 ^np+++??+=D5000
Hs ^np+++??+=HS
for ^in++++=for
size ^nn++++=size
distribution ^nn+nom+++=distribution.
. ^zz++++=EXTRAWORD
Size ^nn++++=Size
selection ^nn+nom+++=selection
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
accordingly ^rb+cnj+++=accordingly,
, ^zz++++=EXTRAWORD
with ^in++++=with
either ^dtx++++=either
a ^at++++=a
left ^vbd+++xvbn+=left-sided
- ^zz++++=EXTRAWORD
sided ^jj+atrb++xvbn+=EXTRAWORD
selection ^nn+nom+++=selection
or ^cc++++=or
a ^at++++=a
double ^jj++++=double-sided
- ^zz++++=EXTRAWORD
sided ^jj+atrb++xvbn+=EXTRAWORD
selection ^nn+nom+++=selection.
. ^zz++++=EXTRAWORD
The ^ati++++=The
concentration ^nn+nom+++=concentration
of ^in++++=of
final ^nn++++=final
eluted ^vwbn+++xvbn+=eluted
Dna ^np+++??+=DNA
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
using ^vbg+++xvbg+=using
Qubit ^np+++??+=Qubit
Hs ^np+++??+=HS
and ^cc++++=and
checked ^vbd+++xvbn+=checked
again ^rb+tm+++=again
on ^in++++=on
a ^at++++=a
Tapestation ^np+nom++??+=TapeStation
D5000hs ^np+++??+=D5000HS.
. ^zz++++=EXTRAWORD
All ^abn++++=All
libraries ^nns++++=libraries
were ^vbd+bed+aux++=were
sequenced ^vpsv++agls+xvbnx+=sequenced
on ^in++++=on
a ^at++++=a
Novaseq2 ^np+++??+=Novaseq2
using ^vwbg+++xvbg+=using
100bp ^cd++++=100bp
paired ^vbd+++xvbn+=paired-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
reads ^vbz++++=reads.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
histone ^nn+++??+=histone
antibodies ^nns++++=antibodies
used ^vwbn+++xvbn+=used
for ^in++++=for
traditional ^jj+atrb+++=traditional
Chip ^nn++++=ChIP-seq
 ^zz++++=EXTRAWORD
Seq ^nn++++=EXTRAWORD
Were ^vbd+bed+aux++=were
Also ^rb++splt++=also
Used ^vpsv++agls+xvbn+=used
Here ^rn+pl+++=here
For ^in++++=for
Chipmentation ^np+nom+++=ChIPmentation.
 ^zz++++=EXTRAWORD
