Modern ^jj+atrb+++=Modern
Europeans ^nns+nom+++=Europeans
are ^vb+ber+aux++=are
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
an ^at++++=an
average ^jj+atrb+++=average
body ^nn++++=body
height ^nn++++=height
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
significantly ^rb++++=significantly
taller ^jjr+pred+++=taller
than ^in++++=than
the ^ati++++=the
body ^nn++++=body
height ^nn++++=height
of ^in++++=of
most ^ql+emph+++=most
human ^jj+atrb+++=human
populations ^nns+nom+++=populations
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+vrb+xvbnx+=been.
. ^zz++++=EXTRAWORD
Conventionally ^rb++++=Conventionally
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
result ^vbi++++=result
from ^in++++=from
optimum ^jj+atrb+++=optimum
nutrition ^nn+nom+++=nutrition,
, ^zz++++=EXTRAWORD
associated ^j+++xvbn+=associated
with ^in++++=with
affluent ^jj+atrb+++=affluent
socioeconomic ^nn++++=socioeconomic
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
good ^jj+atrb+++=good
maternal ^jj+atrb+++=maternal
health ^nn++++=health
and ^cc++++=and
nutrition ^nn+nom+++=nutrition,
, ^zz++++=EXTRAWORD
absence ^nn+nom+++=absence
of ^in++++=of
illness ^nns+nom+++=illness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
appropriate ^jj+atrb+++=appropriate
infant ^nn++++=infant
and ^cc++++=and
young ^jj+atrb+++=young
child ^nn++++=child
feeding ^vwbg+++xvbg+=feeding
and ^cc++++=and
care ^nn++++=care
in ^in++++=in
early ^jj+atrb+++=early
life ^nn++++=life
that ^tht+rel+subj++=that
allows ^vbz++++=allows
children ^nns++++=children
to ^to++++=to
reaching ^vbi++++=reaching
their ^pp$+pp3+++=their
full ^jj++++=full
physical ^jj++++=physical
and ^cc+phrs+++=and
cognitive ^jj++++=cognitive
potential ^jj++++=potential.
. ^zz++++=EXTRAWORD
