Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
data ^nns++++=data
did ^vbd+dod+aux++=did
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
sex ^nn++++=sex
moderated ^nn+++??+=moderated
the ^ati++++=the
change ^nn++++=change
in ^in++++=in
Tee ^np+++??+=TEE.
. ^zz++++=EXTRAWORD
Females ^nns++++=Females
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
modestly ^nn+++??+=modestly
negative ^jj+atrb+++=negative
slope ^nn++++=slope
whereas ^cs+sub+++=whereas
males ^nns++++=males
exhibited ^vbd+++xvbn+=exhibited
comparatively ^rb++++=comparatively
increasing ^jj+++xvbg+=increasing
Tee ^np+++??+=TEE
from ^in++++=from
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
pairwise ^nn+++??+=pairwise-comparison
- ^zz++++=EXTRAWORD
comparison ^nn++++=EXTRAWORD
following ^vwbg+++xvbg+=following
the ^ati++++=the
significant ^jj+atrb+++=significant
interaction ^nn++++=interaction
of ^in++++=of
sex ^nn++++=sex
and ^cc++++=and
time ^nn++++=time
point ^nn++++=point
and ^cc++++=and
adjusting ^jj+++xvbg+=adjusting
for ^in++++=for
relevant ^jj+atrb+++=relevant
covariates ^nns+++??+=covariates,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
males ^nns++++=males,
, ^zz++++=EXTRAWORD
on ^in++++=on
average ^jj++++=average,
, ^zz++++=EXTRAWORD
expended ^vwbn+++xvbn+=expended
significantly ^rb++++=significantly
more ^rbr++++=more
energy ^nn++++=energy
( ^zz++++=(+1085.83
+ ^zz++++=EXTRAWORD
1085.83 ^cd++++=EXTRAWORD
kcal ^nn+++??+=kcal
day ^nn++++=day
1 ^zz++++=1
, ^zz++++=,
13.10 ^cd++++=13.10%
% ^zz++++=EXTRAWORD
increase ^nn++++=increase)
) ^zz++++=EXTRAWORD
later ^rbr+tm+++=later
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
than ^in++++=than
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
early ^rb+tm+++=early
in ^in++++=in
the ^ati++++=the
course ^nn++++=course.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
females ^nns++++=females,
, ^zz++++=EXTRAWORD
on ^in++++=on
average ^jj++++=average,
, ^zz++++=EXTRAWORD
expended ^vwbn+++xvbn+=expended
less ^rbr++++=less
energy ^nn++++=energy,
, ^zz++++=EXTRAWORD
spending ^vbg+++xvbg+=spending
361.07 ^cd++++=361.07
kcal ^nn+++??+=kcal
day ^nn++++=day
1 ^zz++++=1
less ^rbr++++=less
late ^jj++++=late
in ^in++++=in
the ^ati++++=the
course ^rb++++=course
compared ^vwbn+++xvbn+=compared
to ^in++++=to
earlier ^jjr++++=earlier
in ^in++++=in
the ^ati++++=the
course ^nn++++=course,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
this ^dt+dem+++=this
decline ^nn++++=decline
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
significant ^jj++++=significant.
. ^zz++++=EXTRAWORD
