Having ^xvbg+++xvbg+=Having
considered ^vbd+vprv++xvbn+=considered
the ^ati++++=the
environmental ^jj+atrb+++=environmental
influences ^nns++++=influences
and ^cc++++=and
mechanisms ^nns++++=mechanisms
of ^in++++=of
immune ^jj+atrb+++=immune
regulation ^nn++++=regulation,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
now ^rn+tm+splt++=now
review ^vb++++=review
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
conditions ^nns++++=conditions
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
hygiene ^nn++++=hygiene
and ^cc++++=and
other ^ap++++=other
trappings ^nns++++=trappings
of ^in++++=of
modernity ^nn+++??+=modernity
and ^cc++++=and
suggest ^vb+vpub+++=suggest
how ^wrb+who+whcl++=how
these ^dt+dem+++=these
conditions ^nns++++=conditions
are ^vb+ber+aux++=are
connected ^vpsv++agls+xvbnx+=connected,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
having ^xvbg+++xvbg+=having
very ^ql+amp+++=very
disparate ^jj+atrb+++=disparate
etiologies ^nns+++??+=etiologies
and ^cc++++=and
symptomatologies ^nns+++??+=symptomatologies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
conditions ^nns++++=conditions
fall ^nn++++=fall
into ^in++++=into
two ^cd++++=two
overlapping ^nvbg+++xvbg+=overlapping
categories ^nns++++=categories:
: ^zz++++=EXTRAWORD
inflammatory ^jj+atrb+++=inflammatory
conditions ^nns++++=conditions
and ^cc++++=and
conditions ^nns++++=conditions
linked ^vwbn+++xvbn+=linked
to ^in++++=to
mistargeted ^nn++++=mistargeted
immunity ^nn++++=immunity.
. ^zz++++=EXTRAWORD
