Raw ^jj+atrb+++=Raw
data ^nns++++=data
files ^nns++++=files
were ^vbd+bed+aux++=were
processed ^vpsv++agls+xvbnx+=processed
using ^vbg+++xvbg+=using
Maxquant ^np+++??+=MaxQuant
software ^nn+++??+=software
( ^zz++++=(Version
version ^nn++++=EXTRAWORD
1.6.3.4 ^cd++++=1.6.3.4),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
in ^in++++=in-built
- ^zz++++=EXTRAWORD
built ^xvbn+++xvbn+=EXTRAWORD
Andromeda ^np+++??+=Andromeda
search ^nn++++=search
engine ^nn++++=engine
( ^zz++++=(
Cox ^np++++=Cox
and ^cc++++=and
Mann ^np++++=Mann,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
24 ^cd++++=24.
. ^zz++++=EXTRAWORD
Cox ^np+++??+=Cox,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Mann ^np++++=Mann,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Maxquant ^np+++??+=MaxQuant
enables ^vbz++++=enables
high ^jj+atrb+++=high
peptide ^nn+++??+=peptide
identification ^nn++++=identification
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
individualized ^nn+++??+=individualized
p.p.b. ^nn+++??+=p.p.b.-range
- ^zz++++=EXTRAWORD
range ^nn++++=EXTRAWORD
mass ^nn++++=mass
accuracies ^nns+++??+=accuracies
and ^cc++++=and
proteome ^nn+++??+=proteome-wide
- ^zz++++=EXTRAWORD
wide ^jj+atrb+++=EXTRAWORD
protein ^nn++++=protein
quantification ^nn+++??+=quantification
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Biotechnol ^np+++??+=Biotechnol.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
26 ^cd++++=26
: ^zz++++=:1367-1372
1367 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1372 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(9262)
9262 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Cox ^np+++??+=Cox
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
25 ^cd++++=25.
. ^zz++++=EXTRAWORD
Cox ^np+++??+=Cox,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Neuhauser ^np+++??+=Neuhauser,
, ^zz++++=EXTRAWORD
N ^zz++++=N.
. ^zz++++=EXTRAWORD
Michalski ^np+++??+=Michalski,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Andromeda ^np+++??+=Andromeda:
: ^zz++++=EXTRAWORD
A ^at++++=A
peptide ^nn+++??+=peptide
search ^nn++++=search
engine ^nn++++=engine
integrated ^vwbn+++xvbn+=integrated
into ^in++++=into
the ^ati++++=the
Maxquant ^np+++??+=MaxQuant
environment ^nn++++=environment
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Proteome ^np+++??+=Proteome
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
10 ^cd++++=10
: ^zz++++=:1794-1805
1794 ^cd+date+++=EXTRAWORD
- ^zz++++=EXTRAWORD
1805 ^cd+date+++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(3489)
3489 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
peak ^nn++++=peak
lists ^nns++++=lists
were ^vbd+bed+aux++=were
searched ^vpsv++agls+xvbnx+=searched
against ^in++++=against
individual ^jj+atrb+++=individual
Unc ^np+++??+=Unc
and ^cc++++=and
common ^jj+atrb+++=common
contaminant ^nn+++??+=contaminant
proteins ^nns+++??+=proteins.
. ^zz++++=EXTRAWORD
Carbamidomethylation ^np+++??+=Carbamidomethylation
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept
as ^cs+sub+++=as
fixed ^jj+atrb++xvbn+=fixed
modification ^nn++++=modification
whereas ^cs+sub+++=whereas
acetylation ^nn+++??+=acetylation
( ^zz++++=(protein
protein ^nn++++=EXTRAWORD
N ^zz++++=N-term),
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
oxidation ^nn++++=oxidation
( ^zz++++=(methionine),
methionine ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hexose ^nn+++??+=hexose
( ^zz++++=(tryptophan)
tryptophan ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
variable ^jj+atrb+++=variable
modifications ^nns++++=modifications.
. ^zz++++=EXTRAWORD
Protein ^nn++++=Protein
and ^cc++++=and
peptide ^jj+atrb++??+=peptide
false ^jj+atrb+++=false
discovery ^nn++++=discovery
rate ^nn++++=rate
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept
at ^rb++++=at
1 ^zz++++=1%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Trypsin ^nn++++=Trypsin
and ^cc++++=and
Aspn ^np+++??+=AspN
were ^vbd+bed+aux++=were
set ^vpsv++agls+xvbnx+=set
as ^ql++++=as
the ^ati++++=the
protease ^nn+++??+=protease
and ^cc++++=and
up ^rp++++=up
to ^to++++=to
four ^cd++++=four
missed ^vprf+++xvbn+=missed
cleavages ^nns++++=cleavages
were ^vbd+bed+aux++=were
allowed ^vpsv++agls+xvbn+=allowed.
. ^zz++++=EXTRAWORD
