Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
to ^in++++=to
classes ^nns++++=classes
with ^in++++=with
more ^rbr++++=more
minority ^nn+nom+++=minority
peers ^nns++++=peers
( ^zz++++=(+1
+ ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
71% ^cd++++=71%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ethnic ^jj+atrb+++=ethnic
and ^cc+phrs+++=and
national ^jj+atrb+++=national
identifications ^nns+nom+++=identifications
were ^vbd+bed+vrb++=were
compatible ^jj+pred+++=compatible
regardless ^rb++++=regardless
of ^in++++=of
discrimination ^nn+nom+++=discrimination
experiences ^nns+nom+++=experiences
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
3 ^zz++++=3
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
line ^in"++++=line
with ^in"++++=with
Hypothesis ^nn++++=Hypothesis
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
at ^rb++++=at
high ^jj+atrb+++=high
levels ^nns++++=levels
of ^in++++=of
minority ^nn+nom+++=minority
presence ^nn+nom+++=presence
ethnic ^nn++++=ethnic
identification ^nn+nom+++=identification
was ^vbd+bedz+vrb++=was
unrelated ^jj+pred+++=unrelated
to ^in++++=to
national ^jj+atrb+++=national
identification ^nn+nom+++=identification,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
minority ^nn+nom+++=minority
peers ^nns++++=peers
in ^in++++=in
class ^nn++++=class
experienced ^vbd+++xvbn+=experienced
more ^rbr++++=more
school ^nn++++=school
discrimination ^nn+nom+++=discrimination
( ^zz++++=(
p ^zz++++=p
s ^zz++++=s
= ^zz++++==
. ^zz++++=.194
194 ^cd++++=EXTRAWORD
and ^cc++++=and
. ^zz++++=.976
976 ^cd++++=EXTRAWORD
at ^in++++=at
low ^jj+atrb+++=low
and ^cc+phrs+++=and
high ^jj+atrb+++=high
minority ^nn+nom+++=minority
experiences ^nns+nom+++=experiences
of ^in++++=of
school ^nn++++=school
discrimination ^nn+nom+++=discrimination,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
sum ^nn++++=sum
up ^rp++++=up,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
three ^cd++++=three-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
interaction ^nn+nom+++=interaction
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
high ^jj+atrb+++=high
minority ^nn+nom+++=minority
presence ^nn+nom+++=presence
protects ^vbz++++=protects
compatible ^jj+atrb+++=compatible
dual ^jj+atrb+++=dual
identifications ^nns+nom+++=identifications
in ^in++++=in
minority ^nn+nom+++=minority
adolescents ^nns++++=adolescents
even ^rb++++=even
in ^in+cmpx+++=in
the ^in"++++=the
face ^in"++++=face
of ^in"++++=of
school ^nn++++=school
discrimination ^nn+nom+++=discrimination.
. ^zz++++=EXTRAWORD
