Research ^nn++++=Research
examining ^vwbg+++xvbg+=examining
the ^ati++++=the
benefits ^nns++++=benefits
and ^cc++++=and
pitfalls ^nns++++=pitfalls
of ^in++++=of
social ^jj+atrb+++=social
ties ^nns++++=ties
for ^in++++=for
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
psychological ^jj+atrb+++=psychological
health ^nn++++=health
have ^vb+hv+aux++=have
tended ^vprf+++xvbnx+=tended
to ^to+vcmp+++=to
draw ^vbi++++=draw
on ^in+ppvb+++=on
the ^ati++++=the
social ^jj+atrb+++=social
identity ^nn+nom+++=identity
approach ^nn++++=approach
to ^in++++=to
health ^nn++++=health
( ^zz++++=(Haslam
haslam ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
also ^rb++++=also
known ^vbn+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
social ^jj+atrb+++=social
cure ^nn++++=cure
. ^zz++++=.
The ^ati++++=The
central ^jj+atrb+++=central
assumption ^nn+nom+++=assumption
of ^in++++=of
the ^ati++++=the
social ^jj+atrb+++=social
cure ^nn++++=cure
approach ^nn++++=approach
is ^vbz+bez+aux++=is
that ^dt+dem+++=that
sharing ^vbg+++xvbg+=sharing
an ^at++++=an
identity ^nn+nom+++=identity
with ^in++++=with
fellow ^jjb+atrb+++=fellow
group ^nn++++=group
members ^nns+nom+++=members
unlocks ^vbz++++=unlocks
a ^at++++=a
range ^nn++++=range
of ^in++++=of
psychological ^jj+atrb+++=psychological
and ^cc+phrs+++=and
social ^jj+atrb+++=social
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
address ^nns+nom+++=address
their ^pp$+pp3+++=their
needs ^nns++++=needs
and ^cc++++=and
enable ^vb++++=enable
members ^nns+nom+++=members
to ^to++++=to
deal ^vbi++++=deal
more ^rbr++++=more
effectively ^rb++++=effectively
with ^in++++=with
the ^ati++++=the
challenges ^vbz++++=challenges
they ^pp3a+pp3+++=they
face ^vb++++=face,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
improving ^vbg+++xvbg+=improving
their ^pp$+pp3+++=their
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
( ^zz++++=(Haslam
haslam ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Wakefield ^np++++=Wakefield
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
psychological ^jj+atrb+++=psychological
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
identities ^nns+nom+++=identities
provide ^vb+vsua+++=provide
meaning ^nvbg+++xvbg+=meaning
and ^cc++++=and
purpose ^nn++++=purpose
to ^in++++=to
individuals ^nns+nom+++=individuals
lives ^nns++++=lives
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
belonging ^xvbg+++xvbg+=belonging,
, ^zz++++=EXTRAWORD
connectedness ^nns+nom+++=connectedness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intimacy ^nn+nom+++=intimacy
with ^in++++=with
others ^aps++++=others
( ^zz++++=(Haslam,
haslam ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Reicher ^np+++??+=Reicher,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Levine ^np+++??+=Levine,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
Neville ^np++++=Neville
& ^zz++++=&
Reicher ^np+++??+=Reicher,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
social ^jj+atrb+++=social
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
shared ^jj+atrb++xvbn+=shared
identity ^nn+nom+++=identity
increases ^vbz++++=increases
