Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
the ^ati++++=the
case ^nn++++=case
that ^tht+rel+obj++=that
people ^nns++++=people
are ^vb+ber+vrb++=are
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
receive ^vbi++++=receive
multiple ^jj+atrb+++=multiple
vaccines ^nns++++=vaccines
with ^in++++=with
different ^jj+atrb+++=different
properties ^nns++++=properties;
; ^zz++++=EXTRAWORD
i.e ^rb++++=i.e.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
deem ^vb+++??+=deem
several ^ap++++=several
potential ^nn++++=potential
candidates ^nns+nom+++=candidates
to ^to++++=to
be ^vbi++vrb++=be
acceptable ^jj+pred+++=acceptable.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
possibility ^nn+nom+++=possibility
we ^pp1a+pp1+++=we
might ^md+pos+++=might
miss ^vb++++=miss
if ^cs+cnd+++=if
looking ^vbg+++xvbg+=looking
only ^rb+down+++=only
at ^rb++++=at
respondents ^nns++++=respondents
choice ^nn++++=choice
of ^in++++=of
one ^cd1++++=one
vaccine ^nn++++=vaccine
over ^rp++++=over
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
