Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
expected ^vbd+vprv++xvbn+=expected
and ^cc+phrs+++=and
found ^vbd+vprv++xvbn+=found
more ^rbr++++=more
compatible ^jj+atrb+++=compatible
dual ^jj+atrb+++=dual
identities ^nns+nom+++=identities
in ^in++++=in
Turkish ^jj++++=Turkish
and ^cc+phrs+++=and
Moroccan ^jj++++=Moroccan-origin
- ^zz++++=EXTRAWORD
origin ^nn++++=EXTRAWORD
minority ^nn+nom+++=minority
adolescents ^nns++++=adolescents
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
more ^rbr++++=more
minority ^nn+nom+++=minority
peers ^nns++++=peers
in ^in++++=in
their ^pp$+pp3+++=their
class ^nn++++=class
( ^zz++++=(H2).
h2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
a ^at++++=a
significant ^jj+atrb+++=significant
positive ^jj+atrb+++=positive
interaction ^nn+nom+++=interaction
between ^in++++=between
ethnic ^jj+atrb+++=ethnic
identification ^nn+nom+++=identification
and ^cc++++=and
minority ^nn+nom+++=minority
peer ^nn++++=peer
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
ethnic ^jj+atrb+++=ethnic
identification ^nn+nom+++=identification
was ^vbd+bedz+vrb++=was
less ^rbr++++=less
compatible ^jj+pred+++=compatible
with ^in++++=with
national ^jj+atrb+++=national
identification ^nn+nom+++=identification
in ^in++++=in
classes ^nns++++=classes
with ^in++++=with
fewer ^ap++++=fewer
minority ^nn+nom+++=minority
peers ^nns++++=peers;
; ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
in ^in++++=in
classes ^nns++++=classes
with ^in++++=with
more ^rbr++++=more
minority ^nn+nom+++=minority
peers ^nns++++=peers
ethnic ^nn++++=ethnic
and ^cc++++=and
national ^jj+atrb+++=national
identification ^nn+nom+++=identification
were ^vbd+bed+vrb++=were
more ^rbr++++=more
compatible ^jj+pred+++=compatible
( ^zz++++=(but
but ^cc++++=EXTRAWORD
still ^rb++++=still
dissociated ^vbd+++xvbn+=dissociated).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
could ^md+pos+++=could
be ^vb+be+vrb++=be
several ^ap++++=several
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
relative ^jj+atrb+++=relative
presence ^nn+nom+++=presence
of ^in++++=of
minority ^nn+nom+++=minority
peers ^nns++++=peers
affords ^vbz++++=affords
more ^rbr++++=more
compatible ^jj+atrb+++=compatible
dual ^jj+atrb+++=dual
identities ^nns+nom+++=identities.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
indirect ^jj+atrb+++=indirect
way ^nn++++=way
could ^md+pos+++=could
be ^vb+be+vrb++=be
through ^in++++=through
reducing ^xvbg+++xvbg+=reducing
assimilationist ^nn+nom+++=assimilationist
peer ^nn++++=peer
pressures ^nns++++=pressures
from ^in++++=from
( ^zz++++=(less
less ^ql++++=EXTRAWORD
present ^jj++++=present)
) ^zz++++=EXTRAWORD
majority ^nn+nom+++=majority
peers ^nns++++=peers
( ^zz++++=(Celeste
celeste ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
more ^rbr++++=more
direct ^jj+atrb+++=direct
way ^nn++++=way
could ^md+pos+++=could
be ^vb+be+aux++=be
through ^in++++=through
increased ^vbd+++xvbn+=increased
peer ^nn++++=peer
support ^nn++++=support
from ^in++++=from
minority ^nn+nom+++=minority
classmates ^nns+nom+++=classmates,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
more ^rbr++++=more
supportive ^jj+atrb+++=supportive
Ers ^np+++??+=ERS
context ^nn++++=context.
. ^zz++++=EXTRAWORD
As ^in++++=As
minority ^nn+nom+++=minority
peers ^nns++++=peers
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
national ^jj+atrb+++=national
and ^cc+phrs+++=and
ethnic ^jj+atrb+++=ethnic
identification ^nn+nom+++=identification
as ^in++++=as
compatible ^jj++++=compatible,
, ^zz++++=EXTRAWORD
minority ^nn+nom+++=minority
peers ^nns++++=peers
would ^md+prd+++=would
sooner ^rbr++++=sooner
support ^nn++++=support
