Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
varied ^jj+atrb++xvbn+=varied
approaches ^nns++++=approaches
to ^in++++=to
prioritization ^nn+++??+=prioritization
taken ^vwbn+++xvbn+=taken
by ^in++++=by
the ^ati++++=the
case ^nn++++=case
study ^nn++++=study
countries ^nns++++=countries
reflect ^vb+vprv+++=reflect
wider ^jjr+atrb+++=wider
patterns ^nns++++=patterns
of ^in++++=of
inclusion ^nn++++=inclusion
and ^cc++++=and
exclusion ^nn++++=exclusion
in ^in++++=in
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
heath ^nn++++=heath
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
the ^ati++++=the
1990s ^cd+date+++=1990s,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
has ^vbz+hvz+aux++=has
increased ^vprf+++xvbnx+=increased
public ^jj+atrb+++=public
health ^nn++++=health
expenditure ^nn++++=expenditure
and ^cc++++=and
established ^vbd+vprv++xvbn+=established
a ^at++++=a
unified ^jj+++xvbn+=unified,
, ^zz++++=EXTRAWORD
universal ^nn++++=universal
health ^nn++++=health
system ^nn++++=system.
. ^zz++++=EXTRAWORD
By ^in++++=By
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
in ^in++++=in
India ^np++++=India,
, ^zz++++=EXTRAWORD
a ^at++++=a
large ^jj+atrb+++=large
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
older ^jjr+atrb+++=older
population ^nn++++=population
has ^vbz+hvz+vrb++=has
little ^ap++++=little
if ^cs+cnd+++=if
any ^dti++++=any
access ^nn++++=access
to ^in++++=to
basic ^jj+atrb+++=basic
health ^nn++++=health
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Bulgaria ^np++++=Bulgaria's
's ^$++++=EXTRAWORD
universal ^nn++++=universal
health ^nn++++=health
care ^nn++++=care
entitlements ^nns+++??+=entitlements
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
increasingly ^rb++++=increasingly
notional ^jj++++=notional
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
South ^np+pl+++=South
Africa ^np++++=Africa's
's ^$++++=EXTRAWORD
health ^nn++++=health
system ^nn++++=system
is ^vbz+bez+vrb++=is
yet ^rb++++=yet
to ^to++++=to
overcome ^vbi++++=overcome
the ^ati++++=the
double ^jj+atrb+++=double
legacies ^nns++++=legacies
of ^in++++=of
apartheid ^nn++++=apartheid
and ^cc++++=and
hiv ^np++++=HIV/AIDS.
