Using ^vbg+++xvbg+=Using
a ^at++++=a
quantitative ^jj+atrb+++=quantitative
cross ^nn++++=cross
sectional ^jj+atrb+++=sectional
research ^nn++++=research
design ^nn++++=design
and ^cc++++=and
Pmt ^np+++??+=PMT
as ^in++++=as
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
sheds ^nns++++=sheds
interesting ^jj+atrb+++=interesting
insights ^nns++++=insights
into ^in++++=into
the ^ati++++=the
factors ^nns++++=factors
that ^tht+rel+obj++=that
influence ^nn++++=influence
response ^nn++++=response
to ^in++++=to
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
selected ^jj+atrb++xvbn+=selected
African ^jj+atrb+++=African
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
major ^jj+atrb+++=major
insights ^nns++++=insights
from ^in++++=from
the ^ati++++=the
study ^nn++++=study
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
high ^jj+atrb+++=high
perceived ^jj+++xvbn+=perceived
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
threats ^nns++++=threats
among ^in++++=among
the ^ati++++=the
respondents ^nns++++=respondents,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
necessitate ^vb++++=necessitate
the ^ati++++=the
search ^nn++++=search
for ^in++++=for
and ^cc++++=and
adoption ^nn++++=adoption
of ^in++++=of
coping ^xvbg+++xvbg+=coping
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
wearing ^jj+++xvbg+=wearing
of ^in++++=of
nose ^nn++++=nose
masks ^vbz++++=masks,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
and ^cc++++=and
applying ^jj+atrb++xvbg+=applying
hand ^nn++++=hand
sanitizer ^nn+++??+=sanitizer,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
perceived ^vpsv++agls+xvbnx+=perceived
to ^to++++=to
be ^vbi++vrb++=be
effective ^jj+pred+++=effective
in ^in++++=in
controlling ^xvbg+++xvbg+=controlling
the ^ati++++=the
contraction ^nn++++=contraction
and ^cc++++=and
spread ^vpsv++agls+xvbn+=spread
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
while ^cs+sub+++=while
minimizing ^vbg+++xvbg+=minimizing
its ^pp$+it+++=its
impact ^nn++++=impact.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
also ^rb++++=also
point ^nn++++=point
to ^in++++=to
the ^ati++++=the
influence ^nn++++=influence
of ^in++++=of
respondents ^nns++++=respondents
socioeconomic ^jj+atrb++??+=socioeconomic
characteristics ^nns++++=characteristics
on ^in++++=on
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
threats ^nns++++=threats
and ^cc++++=and
coping ^nvbg+++xvbg+=coping
appraisal ^nn++++=appraisal,
, ^zz++++=EXTRAWORD
by ^in++++=by
engendering ^nn+++??+=engendering
variations ^nns++++=variations
among ^in++++=among
the ^ati++++=the
respondents ^nns++++=respondents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
further ^jjb++++=further
confirm ^vb+vpub+++=confirm
the ^ati++++=the
proposition ^nn++++=proposition
by ^in++++=by
Pmt ^np+++??+=PMT
that ^tht+rel+subj++=that
responding ^vbg+++xvbg+=responding
to ^in++++=to
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
is ^vbz+bez+vrb++=is
dependent ^jj+pred+++=dependent
on ^in++++=on
the ^ati++++=the
perceived ^jj+atrb++xvbn+=perceived
severity ^nn++++=severity
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
and ^cc++++=and
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
coping ^xvbg+++xvbg+=coping
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
even ^rb++++=even
though ^cs+sub+++=though
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
coping ^xvbg+++xvbg+=coping
strategies ^nns+++??+=strategies
exerts ^vbz++++=exerts
greater ^jjr+atrb+++=greater
influence ^nn++++=influence
in ^in++++=in
such ^abl++++=such
prediction ^nn++++=prediction
than ^in++++=than
the ^ati++++=the
severity ^nn++++=severity
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
