One ^cd1++++=One
way ^nn++++=way
to ^to++++=to
overcome ^vbi++++=overcome
the ^ati++++=the
above ^in+pl+++=above-mentioned
- ^zz++++=EXTRAWORD
mentioned ^vbn+vpub++xvbn+=EXTRAWORD
problems ^nns++++=problems
in ^in++++=in
postconflict ^nn+++??+=postconflict
societies ^nns++++=societies
is ^vbz+bez+vrb++=is
an ^at++++=an
introduction ^nn+nom+++=introduction
of ^in++++=of
contact ^nn++++=contact-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
intervention ^nn+nom+++=intervention
programs ^nns+++??+=programs,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
any ^dti++++=any
encounters ^nns+nom+++=encounters
revolve ^vb++++=revolve
around ^rp++++=around
individual ^jj+atrb+++=individual
experiences ^nns+nom+++=experiences
and ^cc++++=and
commonalities ^nns+nom+++=commonalities,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
around ^rp++++=around
historical ^jj+atrb+++=historical
grievances ^nns+nom+++=grievances.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
Bilewicz ^np+++??+=Bilewicz
( ^zz++++=(
2007 ^cd++++=2007
) ^zz++++=)
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
Polish ^jj+atrb+++=Polish
and ^cc+phrs+++=and
Jewish ^jj+atrb+++=Jewish
students ^nns++++=students
who ^whp+rel+subj++=who
engaged ^vbd+++xvbn+=engaged
in ^in++++=in
conversations ^nns+nom+++=conversations
about ^in++++=about
contemporary ^nn+nom+++=contemporary
issues ^nns++++=issues
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
interests ^nns++++=interests,
, ^zz++++=EXTRAWORD
culture ^nn++++=culture,
, ^zz++++=EXTRAWORD
politics ^nn++++=politics)
) ^zz++++=EXTRAWORD
reported ^vbd+vpub++xvbn+=reported
more ^rbr++++=more
positive ^jj+atrb+++=positive
attitudes ^nns++++=attitudes
toward ^in++++=toward
both ^abx++++=both
their ^pp$+pp3+++=their
contact ^nn++++=contact
partners ^nns+nom+++=partners
and ^cc++++=and
the ^ati++++=the
generalized ^jj+atrb+++=generalized
outgroup ^nn+++??+=outgroup
than ^in++++=than
those ^dt+dem+++=those
students ^nns++++=students
who ^whp+rel+subj++=who
talked ^vbd+++xvbn+=talked
about ^in++++=about
history ^nn++++=history-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
issues ^nns++++=issues.
. ^zz++++=EXTRAWORD
In ^in++++=In
line ^in"++++=line
with ^in"++++=with
the ^ati++++=the
learning ^jj+++xvbg+=learning-by-doing
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=EXTRAWORD
principle ^nn++++=principle,
, ^zz++++=EXTRAWORD
members ^nns+nom+++=members
of ^in++++=of
historically ^rb++++=historically
conflicted ^jj+atrb++xvbn+=conflicted
societies ^nns++++=societies
who ^whp+rel+subj++=who
engage ^vb++++=engage
in ^in++++=in
positive ^jj+atrb+++=positive
intergroup ^nn+++??+=intergroup
contact ^nn++++=contact
in ^in++++=in
a ^at++++=a
safe ^jj+atrb+++=safe
environment ^nn+nom+++=environment
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
become ^vbi++++=become
more ^rbr++++=more
willing ^jj++++=willing
to ^to+jcmp+++=to
accept ^vbi+vprv+++=accept
further ^jjb+atrb+++=further
contact ^nn++++=contact
in ^in++++=in
real ^jj++++=real-life
- ^zz++++=EXTRAWORD
life ^nn++++=EXTRAWORD
situations ^nns+nom+++=situations
( ^zz++++=(Bilewicz,
bilewicz ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
; ^zz++++=;
ehaji ^nn+++??+=ehaji
, ^zz++++=,
Brown ^jj++++=Brown,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Castano ^np+++??+=Castano,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
; ^zz++++=;
Shani ^np+++??+=Shani
& ^zz++++=&
Boehnke ^np+++??+=Boehnke,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
Voci ^np+++??+=Voci
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
contexts ^nns++++=contexts
in ^in++++=in
which ^whp+rel+pied++=which
actual ^jj+atrb+++=actual
contact ^nn++++=contact
