Using ^vbg+++xvbg+=Using
protection ^nn++++=protection
motivation ^nn++++=motivation
theory ^nn++++=theory
as ^in++++=as
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
investigates ^vbz++++=investigates
the ^ati++++=the
factors ^nns++++=factors
that ^tht+rel+obj++=that
motivate ^nn+++??+=motivate
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
response ^nn++++=response
in ^in++++=in
Ghana ^np++++=Ghana,
, ^zz++++=EXTRAWORD
Cameroon ^np+++??+=Cameroon,
, ^zz++++=EXTRAWORD
Lesotho ^np+++??+=Lesotho
and ^cc++++=and
Uganda ^np++++=Uganda.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
simple ^jj+atrb+++=simple
random ^jj+atrb+++=random
and ^cc+phrs+++=and
snowball ^jj+atrb++??+=snowball
sampling ^nn++++=sampling
techniques ^nns++++=techniques,
, ^zz++++=EXTRAWORD
651 ^cd++++=651
participants ^nns++++=participants
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
collected ^vwbn+++xvbn+=collected
data ^nns++++=data
with ^in++++=with
the ^ati++++=the
aid ^nn++++=aid
of ^in++++=of
a ^at++++=a
survey ^nn++++=survey
questionnaire ^nn++++=questionnaire,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
analyzed ^nn+++??+=analyzed
through ^in++++=through
descriptive ^jj++++=descriptive
and ^cc++++=and
inferential ^nn+++??+=inferential
statistics ^nns++++=statistics.
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
show ^vb+vprv+++=show
high ^jj+atrb+++=high
perceived ^jj+++xvbn+=perceived
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
threats ^nns++++=threats
among ^in++++=among
the ^ati++++=the
respondents ^nns++++=respondents.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
response ^nn++++=response
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
wearing ^jj+++xvbg+=wearing
of ^in++++=of
nose ^nn++++=nose
mask ^nn++++=mask,
, ^zz++++=EXTRAWORD
hand ^nn++++=hand
sanitizer ^nn+++??+=sanitizer
application ^nn++++=application
and ^cc++++=and
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
perceived ^vpsv++agls+xvbnx+=perceived
to ^to++++=to
be ^vbi++vrb++=be
effective ^jj+pred+++=effective,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
adopted ^vpsv++agls+xvbnx+=adopted.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
respondents ^nns++++=respondents
demographics ^nns+++??+=demographics
influence ^nn++++=influence
their ^pp$+pp3+++=their
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
threats ^nns++++=threats
and ^cc++++=and
