Research ^nn++++=Research
examining ^vwbg+++xvbg+=examining
these ^dt+dem+++=these
processes ^nns++++=processes
at ^in++++=at
an ^at++++=an
intergroup ^nn+++??+=intergroup
level ^nn++++=level
have ^vb+hv+aux++=have
mainly ^rb++splt++=mainly
investigated ^vprf+++xvbnx+=investigated
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
friendship ^nn++++=friendship
and ^cc++++=and
demonstrated ^vbd+vprv++xvbn+=demonstrated
some ^dti++++=some
positive ^jj+atrb+++=positive
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
friendships ^nns++++=friendships
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
improved ^jj+atrb++xvbn+=improved
psychological ^jj+atrb+++=psychological
health ^nn++++=health
and ^cc++++=and
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
of ^in++++=of
adults ^nns++++=adults
with ^in++++=with
physical ^jj+atrb+++=physical
disabilities ^nns+++??+=disabilities
( ^zz++++=(Bagci
bagci ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
protected ^xvbn+++xvbn+=protected
psychological ^jj++++=psychological
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
of ^in++++=of
adolescents ^nns++++=adolescents
and ^cc++++=and
children ^nns++++=children
from ^in++++=from
the ^ati++++=the
negative ^jj+atrb+++=negative
consequences ^nns++++=consequences
of ^in++++=of
perceived ^vbd+vprv++xvbn+=perceived
