Based ^xvbn+++xvbn+=Based
on ^in++++=on
informal ^jj+atrb+++=informal
discussions ^nns++++=discussions
and ^cc++++=and
written ^xvbn+++xvbn+=written
reflections ^nns++++=reflections
on ^in++++=on
the ^ati++++=the
project ^nn++++=project,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
limitations ^nns++++=limitations
to ^to++++=to
addressing ^vbi++++=addressing
the ^ati++++=the
root ^nn++++=root
causes ^nns++++=causes
of ^in++++=of
precarity ^nn+++??+=precarity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
purpose ^nn++++=purpose
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article
is ^vbz+bez+aux++=is
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
sources ^nns++++=sources
of ^in++++=of
these ^dt+dem+++=these
limitations ^nns++++=limitations,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
considering ^vbg+++xvbg+=considering
organizational ^jj+atrb+++=organizational
embeddedness ^nns+++??+=embeddedness,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
way ^nn++++=way
networks ^nns++++=networks
and ^cc++++=and
market ^nn++++=market
contexts ^nns++++=contexts
influence ^nn++++=influence
organizational ^jj+atrb+++=organizational
behavior ^nn++++=behavior
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Uzzi ^np+++??+=Uzzi
1996 ^cd+date+++=1996
) ^zz++++=).
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
in ^in++++=in
Canada ^np++++=Canada,
, ^zz++++=EXTRAWORD
the ^ati++++=the
embeddedness ^nns+++??+=embeddedness
of ^in++++=of
academic ^jj++++=academic
and ^cc++++=and
community ^nn++++=community
researchers ^nns+++??+=researchers
in ^in++++=in
neoliberal ^nn+++??+=neoliberal
organizational ^jj+atrb+++=organizational
contexts ^nns++++=contexts
constrains ^vbz+++??+=constrains
their ^pp$+pp3+++=their
ability ^nn++++=ability
to ^to+ncmp+++=to
practice ^vb++++=practice
applied ^vwbn+++xvbn+=applied
sociology ^nn++++=sociology
in ^in++++=in
all ^abn++++=all
its ^pp$+it+++=its
potential ^jj+atrb+++=potential
variation ^nn++++=variation,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
because ^cs+cos+++=because
it ^pp3+it+++=it
prevents ^vbz++++=prevents
them ^pp3o+pp3+++=them
from ^in++++=from
suggesting ^xvbg+++xvbg+=suggesting
solutions ^nns++++=solutions
outside ^jjb++++=outside
the ^ati++++=the
conventional ^jj+atrb+++=conventional
and ^cc+phrs+++=and
permissible ^jj+atrb+++=permissible
range ^nn++++=range
of ^in++++=of
market ^nn++++=market-oriented
- ^zz++++=EXTRAWORD
oriented ^nn+++??+=EXTRAWORD
ideas ^nns++++=ideas.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
begin ^vb++++=begin
by ^in++++=by
reviewing ^xvbg+++xvbg+=reviewing
research ^nn++++=research
on ^in++++=on
precarious ^jj+atrb+++=precarious
work ^nn++++=work,
, ^zz++++=EXTRAWORD
applied ^xvbn+++xvbn+=applied
labor ^nn+++??+=labor
research ^nn++++=research,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
organizational ^jj+atrb+++=organizational
embeddedness ^nns+++??+=embeddedness.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
present ^vb++++=present
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
our ^pp$+pp1+++=our
individually ^rb++++=individually
written ^jj+++xvbn+=written
and ^cc++++=and
collectively ^nn+++??+=collectively
analyzed ^nn+++??+=analyzed
reflections ^nns++++=reflections
on ^in++++=on
the ^ati++++=the
institutional ^jj++++=institutional
and ^cc++++=and
network ^nn++++=network
constraints ^nns+++??+=constraints
we ^pp1a+pp1+++=we
experienced ^vbd+++xvbn+=experienced
but ^cc++++=but
also ^rb++++=also
perhaps ^rb++++=perhaps
reproduced ^vbd+++xvbn+=reproduced
throughout ^rb++++=throughout
our ^pp$+pp1+++=our
work ^nn++++=work
in ^in++++=in
Pepin ^np+++??+=PEPiN
to ^in++++=to
highlight ^nn++++=highlight
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
embeddedness ^vbz++++=embeddedness
influenced ^vprf+++xvbn+=influenced
our ^pp$+pp1+++=our
findings ^nns++++=findings.
. ^zz++++=EXTRAWORD
