Since ^cs+sub+++=Since
Ses ^np+++??+=SES
and ^cc++++=and
caste ^nn++++=caste
are ^vb+ber+aux++=are
correlated ^vpsv++agls+xvbnx+=correlated
social ^jj+atrb+++=social
categories ^nns++++=categories
in ^in++++=in
Nepal ^np++++=Nepal,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
the ^ati++++=the
possibility ^nn++++=possibility
that ^tht+ncmp+++=that
adolescents ^nns++++=adolescents
may ^md+pos+++=may
use ^vb++++=use
caste ^nn++++=caste
or ^cc++++=or
a ^at++++=a
combination ^nn++++=combination
of ^in++++=of
caste ^nn++++=caste
and ^cc++++=and
Ses ^np+++??+=SES
in ^in++++=in
their ^pp$+pp3+++=their
interpretations ^nns++++=interpretations
of ^in++++=of
the ^ati++++=the
ambiguous ^jj+atrb+++=ambiguous
peer ^nn++++=peer
encounter ^nn++++=encounter
and ^cc++++=and
reasoning ^nvbg+++xvbg+=reasoning
about ^in++++=about
friendship ^nn++++=friendship
expectations ^nns++++=expectations.
. ^zz++++=EXTRAWORD
In ^in++++=In
order ^vb++++=order
to ^to+vcmp+++=to
control ^vb++++=control
for ^in++++=for
potential ^jj+atrb+++=potential
culturally ^nn+++??+=culturally
specific ^jj+atrb+++=specific
narratives ^nns++++=narratives
about ^in++++=about
caste ^nn++++=caste,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
computed ^vbd+++xvbn+=computed
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
references ^nns++++=references
to ^in++++=to
caste ^nn++++=caste
in ^in++++=in
each ^dt++++=each
of ^in++++=of
the ^ati++++=the
reasoning ^jj+atrb++xvbg+=reasoning
categories ^nns++++=categories.
. ^zz++++=EXTRAWORD
The ^ati++++=The
frequency ^nn++++=frequency
of ^in++++=of
references ^nns++++=references
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
about ^in++++=about
both ^abx++++=both,
, ^zz++++=EXTRAWORD
caste ^nn++++=caste
and ^cc++++=and
wealth ^nn++++=wealth,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
low ^jj++++=low
for ^in++++=for
all ^rb++++=all
dependent ^jj+atrb+++=dependent
variables ^nns++++=variables
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
6% ^cd++++=6%).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
frequency ^nn++++=frequency
of ^in++++=of
references ^nns++++=references
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
about ^in++++=about
caste ^nn++++=caste,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
even ^rb++++=even
lower ^jjr+pred+++=lower
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
answers ^nns++++=answers).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
adolescents ^nns++++=adolescents
predominantly ^rb++++=predominantly
interpreted ^vbd+++xvbn+=interpreted
the ^ati++++=the
ast ^np++++=AST
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
ses ^np++++=SES.
. ^zz++++=EXTRAWORD
