Research ^nn++++=Research
looking ^vwbg+++xvbg+=looking
at ^rb++++=at
contact ^nn++++=contact
in ^in++++=in
postconflict ^nn+++??+=postconflict
contexts ^nns++++=contexts
points ^nns++++=points
to ^in++++=to
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
collective ^jj+atrb+++=collective
identity ^nn++++=identity-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
processes ^nns++++=processes
that ^tht+rel+subj++=that
might ^md+pos+++=might
create ^vb++++=create
barriers ^nns++++=barriers
to ^in++++=to
intergroup ^jj+atrb++??+=intergroup
contact ^nn++++=contact.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
barriers ^nns++++=barriers
can ^md+pos+++=can
be ^vb+be+vrb++=be
especially ^rb++++=especially
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
overcome ^vbi++++=overcome
in ^in++++=in
these ^dt+dem+++=these
unique ^jj+atrb+++=unique
circumstances ^nns++++=circumstances.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
sense ^nn++++=sense
of ^in++++=of
collective ^jj+atrb+++=collective
victimhood ^nn+++??+=victimhood,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
its ^pp$+it+++=its
most ^ap+emph+++=most
exclusive ^jj+atrb+++=exclusive
forms ^nns++++=forms
that ^tht+rel+subj++=that
portray ^vb++++=portray
the ^ati++++=the
ingroup ^nn+++??+=ingroup
as ^ql++++=as
a ^at++++=a
sole ^jjb+atrb+++=sole
victim ^nn++++=victim
( ^zz++++=(and
and ^cc++++=EXTRAWORD
the ^ati++++=the
outgroup ^nn+++??+=outgroup
as ^ql++++=as
a ^at++++=a
sole ^jjb+atrb+++=sole
perpetrator ^nn++++=perpetrator)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
conflict ^nn++++=conflict
history ^nn++++=history,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
factors ^nns++++=factors
found ^vbd+vprv++xvbn+=found
to ^to+vcmp+++=to
significantly ^rb++++=significantly
lower ^jjr+atrb+++=lower
intergroup ^nn+++??+=intergroup
contact ^nn++++=contact
intentions ^nns++++=intentions
of ^in++++=of
groups ^nns++++=groups
with ^in++++=with
a ^at++++=a
history ^nn++++=history
of ^in++++=of
violence ^nn++++=violence
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
Bulgaria ^np+++??+=Bulgaria,
, ^zz++++=EXTRAWORD
Green ^nn++++=Green
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
in ^in++++=in
Poland ^np++++=Poland,
, ^zz++++=EXTRAWORD
Bilewicz ^np+++??+=Bilewicz
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
; ^zz++++=;
in ^in++++=in
Rwanda ^np+++??+=Rwanda,
, ^zz++++=EXTRAWORD
Burundi ^np+++??+=Burundi,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Congo ^np++++=Congo,
, ^zz++++=EXTRAWORD
Vollhardt ^np+++??+=Vollhardt
& ^zz++++=&
Bilali ^np+++??+=Bilali,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
collective ^jj+atrb+++=collective
emotions ^nns++++=emotions
evoked ^vwbn+++xvbn+=evoked
by ^in++++=by
reminders ^nns++++=reminders
