Research ^nn++++=Research
has ^vbz+hvz+aux++=has
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
stereotypes ^nns+++??+=stereotypes
about ^in++++=about
Ses ^np+++??+=SES
are ^vb+ber+vrb++=are
context ^nn++++=context-sensitive
- ^zz++++=EXTRAWORD
sensitive ^jj++++=EXTRAWORD
( ^zz++++=(Burkholder
burkholder ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
; ^zz++++=;
Elenbaas ^np+++??+=Elenbaas
& ^zz++++=&
Killen ^np+++??+=Killen,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
academic ^jj+atrb+++=academic
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
high ^jj++++=high-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
rated ^vpsv++agls+xvbnx+=rated
higher ^jjr++++=higher
in ^in++++=in
competence ^nn++++=competence
than ^in++++=than
low ^jj++++=low-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
in ^in++++=in
social ^jj+atrb+++=social
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
high ^jj++++=high-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
rated ^vpsv++agls+xvbnx+=rated
more ^rbr++++=more
negatively ^rb++++=negatively
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
selfish ^jj++++=selfish,
, ^zz++++=EXTRAWORD
cold ^jj++++=cold,
