Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
everyone ^pn++++=everyone
is ^vbz+bez+vrb++=is
equally ^rb++++=equally
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
face ^vbi++++=face
precarious ^jj+atrb+++=precarious
work ^nn++++=work;
; ^zz++++=EXTRAWORD
women ^nns++++=women
work ^nn++++=work
more ^rbr++++=more
often ^rb++++=often
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
precarious ^jj+atrb+++=precarious
forms ^nns++++=forms
of ^in++++=of
employment ^nn++++=employment
( ^zz++++=(
Cranford ^np++++=Cranford
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
immigrant ^nn++++=immigrant
men ^nns++++=men
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
contract ^nn++++=contract
employment ^nn++++=employment
than ^in++++=than
nonimmigrant ^nn+++??+=nonimmigrant
men ^nns++++=men
( ^zz++++=(
Fuller ^np++++=Fuller
and ^cc++++=and
Vosko ^np+++??+=Vosko
2008 ^cd++++=2008
) ^zz++++=).
. ^zz++++=EXTRAWORD
Lewchuk ^np+++??+=Lewchuk
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
workers ^nns++++=workers
were ^vbd+bed+vrb++=were
most ^ql+emph+++=most
likely ^jj++++=likely
to ^to+jcmp+++=to
also ^rb++splt++=also
be ^vbi++vrb++=be
precarious ^jj++++=precarious,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
workers ^nns++++=workers
at ^rb++++=at
all ^abn++++=all
income ^nn++++=income
levels ^nns++++=levels
were ^vbd+bed+vrb++=were
at ^rb++++=at
some ^dti++++=some
risk ^nn++++=risk.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
various ^jj+atrb+++=various
consequences ^nns++++=consequences
associated ^vbd+++xvbn+=associated
with ^in++++=with
precarious ^jj+atrb+++=precarious
work ^nn++++=work
such ^abl++++=such
as ^ql++++=as
reproductive ^jj+atrb+++=reproductive
insecurity ^nn++++=insecurity
( ^zz++++=(
Chan ^np++++=Chan
and ^cc++++=and
Tweedie ^np+++??+=Tweedie
2015 ^cd++++=2015
) ^zz++++=),
, ^zz++++=EXTRAWORD
difficulty ^nn++++=difficulty
with ^in++++=with
financial ^jj++++=financial
planning ^jj+++xvbg+=planning
( ^zz++++=(
Boggs ^np++++=Boggs
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increased ^jj+atrb++xvbn+=increased
occupational ^jj+atrb+++=occupational
health ^nn++++=health
hazards ^nns++++=hazards
( ^zz++++=(
Underhill ^np++++=Underhill
and ^cc++++=and
Quinlan ^np+++??+=Quinlan
2011 ^cd++++=2011
) ^zz++++=),
, ^zz++++=EXTRAWORD
labor ^nn++++=labor
insecurity ^nn++++=insecurity
potentially ^rb++++=potentially
does ^vbz+doz+vrb++=does
great ^jj+atrb+++=great
harm ^nn++++=harm.
. ^zz++++=EXTRAWORD
