One ^cd1++++=One
strategy ^nn++++=strategy
for ^in++++=for
eradicating ^xvbg+++xvbg+=eradicating
ageism ^nn++++=ageism,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
does ^vbz+doz+aux++=does
not ^xnot++not++=not
have ^vb+hv+vrb++=have
enough ^qlp++++=enough
empirical ^jj+atrb+++=empirical
support ^nn++++=support
is ^vbz+bez+vrb++=is
social ^jj+atrb+++=social
media ^nn++++=media
campaigns ^nns++++=campaigns
( ^zz++++=(Officer
officer ^nn++++=EXTRAWORD
& ^zz++++=&
de ^&fw++++=de
la ^&fw++++=la
Fuente ^np+++??+=Fuente-N
- ^zz++++=EXTRAWORD
n ^zz++++=EXTRAWORD
ez ^nn+++??+=ez,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
strategy ^nn++++=strategy
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
perception ^nn+nom+++=perception
that ^tht+ncmp+++=that
the ^ati++++=the
media ^nn++++=media
has ^vbz+hvz+vrb++=has
the ^ati++++=the
power ^nn++++=power
and ^cc++++=and
force ^vb++++=force
to ^to+vcmp+++=to
help ^vbi++++=help
bring ^vb++++=bring
about ^rb+phrv+++=about
behavioral ^jj+atrb+++=behavioral
change ^nn++++=change
in ^in++++=in
mass ^nn++++=mass
populations ^nns+nom+++=populations
( ^zz++++=(Meisner,
meisner ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
; ^zz++++=;
Wakefield ^np++++=Wakefield
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
Even ^cs+sub+++=Even
though ^cs+sub+++=though
our ^pp$+pp1+++=our
study ^nn++++=study
does ^vbz+doz+aux++=does
not ^xnot++not++=not
provide ^vb+vsua+++=provide
empirical ^jj+atrb+++=empirical
evidence ^nn+nom+++=evidence
for ^in++++=for
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
this ^dt+dem+++=this
strategy ^nn++++=strategy,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
paper ^nn++++=paper
contributes ^vbz++++=contributes
by ^in++++=by
highlighting ^xvbg+++xvbg+=highlighting
important ^jj+atrb+++=important
insights ^nns++++=insights
from ^in++++=from
three ^cd++++=three
different ^jj+atrb+++=different
campaigns ^nns++++=campaigns
conducted ^vbd+++xvbn+=conducted
within ^in++++=within
an ^at++++=an
extreme ^jj+atrb+++=extreme
period ^nn++++=period
in ^in++++=in
human ^jj+atrb+++=human
history ^nn++++=history.
. ^zz++++=EXTRAWORD
