Using ^vbg+++xvbg+=Using
well ^jj+pred+++=well
validated ^nn+++??+=validated
measures ^nns++++=measures
from ^in++++=from
social ^jj++++=social-cognitive
- ^zz++++=EXTRAWORD
cognitive ^nn+++??+=EXTRAWORD
development ^nn++++=development
and ^cc++++=and
drawing ^nvbg+++xvbg+=drawing
on ^in++++=on
social ^jj+atrb+++=social
domain ^nn++++=domain
theory ^nn++++=theory
( ^zz++++=(Smetana,
smetana ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
Turiel ^np+++??+=Turiel,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=),
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
open ^jj++++=open-ended
- ^zz++++=EXTRAWORD
ended ^vbd+++xvbn+=EXTRAWORD
responses ^nns++++=responses
were ^vbd+bed+vrb++=were
analyzed ^nn+++??+=analyzed
quantitatively ^rb+cnj+++=quantitatively,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
several ^ap++++=several
statistical ^jj+atrb+++=statistical
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
For ^in++++=For
each ^dt++++=each
assessment ^nn++++=assessment,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
conducted ^vbd+++xvbn+=conducted
a ^at++++=a
set ^nn++++=set
of ^in++++=of
analyses ^nns++++=analyses
to ^in++++=to
answer ^nn++++=answer
our ^pp$+pp1+++=our
specific ^jj+atrb+++=specific
hypotheses ^nns++++=hypotheses.
. ^zz++++=EXTRAWORD
