Other ^ap++++=Other
forms ^nns++++=forms
of ^in++++=of
gestural ^jj+atrb+++=gestural
communication ^nn+nom+++=communication
are ^vb+ber+aux++=are
used ^vpsv++++=used
to ^in++++=to
signal ^nn++++=signal
transitions ^nns+nom+++=transitions
within ^in++++=within
the ^ati++++=the
roda ^nn+++??+=roda.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition
to ^in"++++=to
entering ^vbg+++xvbg+=entering
the ^ati++++=the
roda ^nn+++??+=roda
through ^in++++=through
the ^ati++++=the
space ^nn++++=space
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described,
, ^zz++++=EXTRAWORD
a ^at++++=a
capoeirista ^nn+++??+=capoeirista
may ^md+pos+++=may
also ^rb++++=also
" ^zz++++="buy"
buy ^vb++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
game ^nn++++=game.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
process ^nns+nom+++=process
involves ^vbz++++=involves
any ^dti++++=any
participant ^nn+nom+++=participant
standing ^vwbg+++xvbg+=standing
in ^in++++=in
the ^ati++++=the
roda ^nn+++??+=roda
replacing ^vwbg+++xvbg+=replacing
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
current ^jj+atrb+++=current
players ^nns+nom+++=players
by ^in++++=by
signaling ^nn+nom+++=signaling
their ^pp$+pp3+++=their
intention ^nn+nom+++=intention
to ^to+ncmp+++=to
join ^vbi++++=join;
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
done ^vpsv++by+xvbnx+=done
by ^in++++=by
extending ^xvbg+++xvbg+=extending
a ^at++++=a
hand ^nn++++=hand
toward ^in++++=toward
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
the ^ati++++=the
roda ^nn+++??+=roda
with ^in++++=with
the ^ati++++=the
palm ^np++++=palm
facing ^vwbg+++xvbg+=facing
the ^ati++++=the
player ^nn++++=player
they ^pp3a+pp3+++=they
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
engage ^vbi++++=engage.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
method ^nn++++=method
of ^in++++=of
entering ^xvbg+++xvbg+=entering
the ^ati++++=the
game ^nn++++=game
is ^vbz+bez+aux++=is
more ^rbr++splt++=more
commonly ^rb++++=commonly
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
dynamic ^jj+atrb+++=dynamic
rodas ^nns+++??+=rodas.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
gestures ^nns++++=gestures
are ^vb+ber+vrb++=are
integral ^jj+pred+++=integral
to ^to++++=to
establishing ^vbi++++=establishing
the ^ati++++=the
sequence ^nn+nom+++=sequence
of ^in++++=of
participation ^nn+nom+++=participation
within ^in++++=within
the ^ati++++=the
roda ^nn+++??+=roda,
, ^zz++++=EXTRAWORD
demonstrating ^vbg+++xvbg+=demonstrating
mutual ^jj+atrb+++=mutual
respect ^nn++++=respect
among ^in++++=among
participants ^nns+nom+++=participants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
constitute ^vb++++=constitute
an ^at++++=an
important ^jj+atrb+++=important
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
linguistic ^jj++++=linguistic
and ^cc+phrs+++=and
cultural ^jj++++=cultural
competencies ^vbz++++=competencies
developed ^vpsv++agls+xvbn+=developed
through ^in++++=through
capoeira ^nn++++=capoeira
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
