Neither ^dt++neg++=Neither
example ^nn++++=example
demonstrates ^nns+nom+++=demonstrates
clear ^jj+atrb+++=clear
evidence ^nn+nom+++=evidence
of ^in++++=of
exploring ^xvbg+++xvbg+=exploring
or ^cc++++=or
deepening ^jj+atrb+++=deepening
students ^nns++++=students
ideas ^nns++++=ideas.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
teachers ^nns+nom+++=teachers
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
specific ^jj+atrb+++=specific
objectives ^nns++++=objectives
and ^cc++++=and
worked ^vbd+++xvbn+=worked
collaboratively ^jj++++=collaboratively
with ^in++++=with
the ^ati++++=the
students ^nns++++=students
to ^to++++=to
achieve ^vbi++++=achieve
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
teachers ^nns+nom+++=teachers
were ^vbd+bed+vrb++=were
effective ^jj+pred+++=effective
in ^in++++=in
highlighting ^xvbg+++xvbg+=highlighting
the ^ati++++=the
comparative ^jj+atrb+++=comparative
analogy ^nn++++=analogy
between ^in++++=between
water ^nn++++=water
and ^cc++++=and
perfume ^nn++++=perfume
evaporation ^nn+nom+++=evaporation
and ^cc++++=and
in ^in++++=in
emphasizing ^xvbg+++xvbg+=emphasizing
a ^at++++=a
microscopic ^jj+atrb+++=microscopic
explanation ^nn+nom+++=explanation
of ^in++++=of
the ^ati++++=the
evaporation ^nn+nom+++=evaporation
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
Student ^nn++++=Student
contributions ^nns+nom+++=contributions
were ^vbd+bed+vrb++=were
minimal ^jj+pred+++=minimal
and ^cc+phrs+++=and
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
align ^vbi++++=align
with ^in++++=with
the ^ati++++=the
teachers ^nns+nom+++=teachers
line ^nn++++=line
of ^in++++=of
reasoning ^nn++++=reasoning.
. ^zz++++=EXTRAWORD
