Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
lcr ^nn+++??+=lcr
studies ^nns++++=studies
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
have ^vb+hv+aux++=have
focussed ^vprf+++xvbnx+=focussed
on ^rp++++=on
university ^npl++++=university
students ^nns++++=students,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
few ^ap++++=few
studies ^nns++++=studies
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
language ^nn++++=language
output ^nn++++=output
by ^in++++=by
senior ^jj++++=senior
secondary ^jj++++=secondary-school
- ^zz++++=EXTRAWORD
school ^nn++++=EXTRAWORD
pupils ^nns++++=pupils
( ^zz++++=(an
an ^at++++=EXTRAWORD
exception ^nn++++=exception
is ^vbz+bez+vrb++=is
Lee ^nn++++=Lee
et ^&fw++++=et
al ^np++++=al
. ^zz++++=.
[ ^zz++++=[2021]
2021 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
) ^zz++++=)
and ^cc++++=and
none ^pn++++=none
touched ^vbd+++xvbn+=touched
upon ^in++++=upon
junior ^jj++++=junior
secondary ^jj++++=secondary-school
- ^zz++++=EXTRAWORD
school ^nn++++=EXTRAWORD
or ^cc++++=or
primary ^jj++++=primary-school
- ^zz++++=EXTRAWORD
school ^nn++++=EXTRAWORD
students ^nns++++=students.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
leaves ^vbz++++=leaves
an ^at++++=an
important ^jj+atrb+++=important
research ^nn++++=research
gap ^nn++++=gap
in ^in++++=in
lcr ^nn+++??+=lcr
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inclusion ^nn++++=inclusion
of ^in++++=of
language ^nn++++=language
output ^nn++++=output
by ^in++++=by
young ^jj+atrb+++=young
learners ^nns++++=learners
can ^md+pos+++=can
also ^rb++splt++=also
help ^vb++++=help
lay ^jjb+++xvbn+=lay
a ^at++++=a
foundation ^nn++++=foundation
for ^in++++=for
longitudinal ^jj+atrb+++=longitudinal
studies ^nns++++=studies
on ^in++++=on
learners ^nns++++=learners
language ^nn++++=language
progression ^nn++++=progression
in ^in++++=in
efl ^nn+++??+=efl
esl ^nn+++??+=esl
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
gap ^nn++++=gap
in ^in++++=in
lcr ^nn+++??+=lcr
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
is ^vbz+bez+vrb++=is
learner ^nn++++=learner
language ^nn++++=language
production ^nn++++=production
across ^in+pl+++=across
disciplines ^nns++++=disciplines.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn++++=majority
of ^in++++=of
lcr ^nn+++??+=lcr
studies ^nns++++=studies
have ^vb+hv+aux++=have
recruited ^vprf+++xvbnx+=recruited
university ^npl++++=university
students ^nns++++=students
based ^vwbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
academic ^jj+atrb+++=academic
year ^nn++++=year,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
on ^in++++=on
their ^pp$+pp3+++=their
field ^nn++++=field
of ^in++++=of
specialisation ^nn++++=specialisation.
. ^zz++++=EXTRAWORD
As ^ql++++=As
students ^nns++++=students
language ^nn++++=language
proficiency ^nn++++=proficiency
can ^md+pos+++=can
vary ^vb++++=vary
considerably ^rb++++=considerably
