Using ^vbg+++xvbg+=Using
Hyland ^np+++??+=Hyland
s ^zz++++=s
( ^zz++++=(2018
2018 ^cd++++=EXTRAWORD
) ^zz++++=)
meta ^nn+++??+=meta-discourse
- ^zz++++=EXTRAWORD
discourse ^nn++++=EXTRAWORD
model ^nn++++=model,
, ^zz++++=EXTRAWORD
Prommas ^np+++??+=Prommas
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
Thai ^np+++??+=Thai
writers ^nns++++=writers
used ^vwbn+++xvbn+=used
significantly ^rb++++=significantly
less ^rbr++++=less
evaluative ^jj+atrb+++=evaluative
meta ^nn+++??+=meta-discourse,
- ^zz++++=EXTRAWORD
discourse ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
attitudinal ^nn+++??+=attitudinal
lexis ^nns+++??+=lexis
( ^zz++++=(
important ^jj++++=important
) ^zz++++=)
and ^cc++++=and
hedges ^nns++++=hedges
( ^zz++++=(
possible ^jj++++=possible
) ^zz++++=),
, ^zz++++=EXTRAWORD
than ^in++++=than
writers ^nns++++=writers
of ^in++++=of
New ^jj+atrb+++=New
Zealand ^np++++=Zealand
English ^nn++++=English.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
made ^vbd+++xvbnx+=made
significantly ^rb++++=significantly
less ^rbr++++=less
use ^nn++++=use
of ^in++++=of
features ^nns++++=features
that ^tht+rel+subj++=that
make ^vb++++=make
interpersonal ^jj+atrb++??+=interpersonal
connections ^nns++++=connections
with ^in++++=with
readers ^nns++++=readers,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
self ^nn++++=self-mention
- ^zz++++=EXTRAWORD
mention ^vb+vpub+++=EXTRAWORD
( ^zz++++=(
I ^np++++=I
and ^cc++++=and
we ^pp1a+pp1+++=we
) ^zz++++=)
and ^cc++++=and
engagement ^nn++++=engagement
features ^nns++++=features
( ^zz++++=(imperatives).
imperatives ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thai ^np+++??+=Thai
writers ^nns++++=writers
also ^rb++++=also
provided ^vbd+vsua++xvbn+=provided
less ^rbr++++=less
elaboration ^nn++++=elaboration
by ^in++++=by
use ^nn++++=use
of ^in++++=of
code ^nn++++=code
glosses ^nns+++??+=glosses
( ^zz++++=(including
including ^in++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
) ^zz++++=)
and ^cc++++=and
fewer ^ap++++=fewer
citations ^nns++++=citations.
. ^zz++++=EXTRAWORD
