One ^cd1++++=One
bundle ^nn++++=bundle
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
the ^ati++++=the
Low ^jj+atrb+++=Low
and ^cc+phrs+++=and
High ^jj+atrb+++=High
corpora ^nn+++??+=corpora,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
Mid ^jjb+atrb+++=Mid
corpus ^nn++++=corpus:
: ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
three ^cd++++=three
reasons ^nns++++=reasons
. ^zz++++=.
Its ^pp$+it+++=Its
use ^nn++++=use,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
greatly ^rb+amp+++=greatly
differed ^vbd+++xvbn+=differed
between ^in++++=between
the ^ati++++=the
Low ^jj+atrb+++=Low
and ^cc+phrs+++=and
High ^jj+atrb+++=High
corpora ^nn+++??+=corpora
despite ^in++++=despite
the ^ati++++=the
identical ^jj+atrb+++=identical
writing ^jj+atrb++xvbg+=writing
topics ^nns++++=topics.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Low ^jj+atrb+++=Low
corpus ^nn++++=corpus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
frequent ^jj+atrb+++=frequent
uses ^nns++++=uses
of ^in++++=of
the ^ati++++=the
bundle ^nn++++=bundle
occur ^vb++++=occur
as ^in++++=as
a ^at++++=a
full ^jj+atrb+++=full
sentence ^nn++++=sentence
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
three ^cd++++=three
reasons ^nns++++=reasons
) ^zz++++=)
or ^cc++++=or
are ^vb+ber+aux++=are
preceded ^vpsv++by+xvbnx+=preceded
by ^in++++=by
a ^at++++=a
sub ^nn++++=sub-ordinating
- ^zz++++=EXTRAWORD
ordinating ^nn+++??+=EXTRAWORD
conjunction ^nn++++=conjunction
to ^in++++=to
form ^nn++++=form
an ^at++++=an
incomplete ^jj+atrb+++=incomplete
sentence ^nn++++=sentence,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
Example ^nn++++=Example
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
In ^in++++=In
all ^abn++++=all
occurrences ^nns++++=occurrences
in ^in++++=in
the ^ati++++=the
High ^jj+atrb+++=High
corpus ^nn++++=corpus,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
bundle ^nn++++=bundle
is ^vbz+bez+aux++=is
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
a ^at++++=a
post ^nn++++=post-modifier
- ^zz++++=EXTRAWORD
modifier ^nn++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
wh ^nn+++??+=wh
- ^zz++++=-relative
relative ^jj+atrb+++=EXTRAWORD
clause ^nn++++=clause
or ^cc++++=or
that ^cs+sub+++=that
- ^zz++++=-clause,
clause ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
Example ^nn++++=Example
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
three ^cd++++=three
reasons ^nns++++=reasons.
. ^zz++++=EXTRAWORD
( ^zz++++=(Low)
low ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
three ^cd++++=three
reasons ^nns++++=reasons
why ^wrb+who+++=why
my ^pp$+pp1+++=my
hometown ^nn+++??+=hometown
s ^zz++++=s
cultural ^jj+atrb+++=cultural
events ^nns++++=events
should ^md+nec+++=should
be ^vb+be+aux++=be
changed ^vpsv++agls+xvbn+=changed.
. ^zz++++=EXTRAWORD
( ^zz++++=(High)
high ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
